"","species","genus_species","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory1","redlistCategory2","redlistCategory3","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16"
"986","Cebus yuracus","Cebus yuracus",NA,"Primates",NA,NA,"Yes",0.47677,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"987","Centronycteris centralis","Centronycteris centralis","Emballonuridae","Chiroptera",5,0,"Yes",10.4314,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"988","Centronycteris maximiliani","Centronycteris maximiliani","Emballonuridae","Chiroptera",5,1,"Yes",4.81,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"989","Centurio flavogularis","Centurio flavogularis",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"990","Centurio senex","Centurio senex","Phyllostomidae","Chiroptera",21.22,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"991","Cephalopachus bancanus","Cephalopachus bancanus","Tarsiidae","Primates",NA,NA,"No",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"992","Cephalophus abyssinicus","Cephalophus abyssinicus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"993","Cephalophus adersi","Cephalophus adersi","Bovidae","Artiodactyla",9249.96,1,"Yes",-3.6167,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"994","Cephalophus aureus","Cephalophus aureus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"995","Cephalophus badius","Cephalophus badius",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"996","Cephalophus barbertoni","Cephalophus barbertoni",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"997","Cephalophus bicolor","Cephalophus bicolor",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"998","Cephalophus breviceps","Cephalophus breviceps",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"999","Cephalophus brookei","Cephalophus brookei","Bovidae","Artiodactyla",20863.36,0,"Yes",7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1000","Cephalophus callipygus","Cephalophus callipygus","Bovidae","Artiodactyla",18249.88,1,"Yes",1.25,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1001","Cephalophus campbelliae","Cephalophus campbelliae",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1002","Cephalophus danei","Cephalophus danei",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1003","Cephalophus dorsalis","Cephalophus dorsalis","Bovidae","Artiodactyla",20000,1,"Yes",5.3129665,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1004","Cephalophus fosteri","Cephalophus fosteri",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1005","Cephalophus harveyi","Cephalophus harveyi","Bovidae","Artiodactyla",NA,NA,"Yes",NA,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1006","Cephalophus hooki","Cephalophus hooki",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1007","Cephalophus ignifer","Cephalophus ignifer",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1008","Cephalophus jentinki","Cephalophus jentinki","Bovidae","Artiodactyla",70000.32,1,"Yes",5.3702035,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1009","Cephalophus johnstoni","Cephalophus johnstoni",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1010","Cephalophus leucogaster","Cephalophus leucogaster","Bovidae","Artiodactyla",12699.89,1,"Yes",3.8,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1011","Cephalophus longiceps","Cephalophus longiceps",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012","Cephalophus lowei","Cephalophus lowei",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1013","Cephalophus lugens","Cephalophus lugens",NA,"Artiodactyla",NA,NA,"Yes",-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014","Cephalophus melanoprymnus","Cephalophus melanoprymnus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1015","Cephalophus melanorheus","Cephalophus melanorheus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1016","Cephalophus natalensis","Cephalophus natalensis","Bovidae","Artiodactyla",11999.97,1,"Yes",-28.227615,"Least Concern",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1017","Cephalophus niger","Cephalophus niger","Bovidae","Artiodactyla",20399.99,1,"Yes",6.22,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1018","Cephalophus nigrifrons","Cephalophus nigrifrons","Bovidae","Artiodactyla",13899.85,1,"Yes",-5.375,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1019","Cephalophus nyasae","Cephalophus nyasae",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1020","Cephalophus ogilbyi","Cephalophus ogilbyi","Bovidae","Artiodactyla",20000,1,"Yes",5.352141,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1021","Cephalophus punctulatus","Cephalophus punctulatus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1022","Cephalophus rubidus","Cephalophus rubidus","Bovidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023","Cephalophus rufilatus","Cephalophus rufilatus","Bovidae","Artiodactyla",11999.97,1,"Yes",11.068933,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1024","Cephalophus silvicultor","Cephalophus silvicultor","Bovidae","Artiodactyla",72500.33,1,"Yes",-4.62991,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1025","Cephalophus simpsoni","Cephalophus simpsoni",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1026","Cephalophus spadix","Cephalophus spadix","Bovidae","Artiodactyla",56000.25,1,"Yes",-4.661564,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1027","Cephalophus walkeri","Cephalophus walkeri",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1028","Cephalophus weynsi","Cephalophus weynsi","Bovidae","Artiodactyla",17000,1,"Yes",-0.3742,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1029","Cephalophus whitfieldi","Cephalophus whitfieldi",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1030","Cephalophus zebra","Cephalophus zebra","Bovidae","Artiodactyla",17500.08,1,"Yes",5.369684,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1031","Cephalorhynchus commersonii","Cephalorhynchus commersonii","Delphinidae","Cetacea",72400,1,"Yes",-53.169998,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1032","Cephalorhynchus eutropia","Cephalorhynchus eutropia","Delphinidae","Cetacea",NA,NA,"Yes",-42.620758,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1033","Cephalorhynchus eutropia ","Cephalorhynchus eutropia","Delphinidae","Artiodactyla",45000,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1034","Cephalorhynchus heavisidii","Cephalorhynchus heavisidii","Delphinidae","Cetacea",40000,1,"Yes",-22.876612,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1035","Cephalorhynchus hectori","Cephalorhynchus hectori","Delphinidae","Artiodactyla",50000,1,"No",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036","Cephalotropis coronatus","Cephalotropis coronatus",NA,"Cetacea",NA,NA,"Yes",38.4883325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1037","Ceratotherium neumayri","Ceratotherium neumayri",NA,"Perissodactyla",NA,NA,"Yes",38.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038","Ceratotherium simum","Ceratotherium simum","Rhinocerotidae","Perissodactyla",2949986.31,1,"No",NA,"Near Threatened",NA,NA,"handicrafts_jewellery","medicine","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1039","Cercartetus caudatus","Cercartetus caudatus","Burramyidae","Diprotodontia",25,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1040","Cercartetus concinnus","Cercartetus concinnus","Burramyidae","Diprotodontia",13,1,"Yes",-34.45167,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041","Cercartetus lepidus","Cercartetus lepidus","Burramyidae","Diprotodontia",7,1,"Yes",-35.8975,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1042","Cercartetus nanus","Cercartetus nanus","Burramyidae","Diprotodontia",24,1,"Yes",-34.090267,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043","Cercocebus agilis","Cercocebus agilis","Cercopithecidae","Primates",8000,1,"Yes",1.401109,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044","Cercocebus atys","Cercocebus atys","Cercopithecidae","Primates",6941.24,1,"No",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045","Cercocebus chrysogaster","Cercocebus chrysogaster","Cercopithecidae","Primates",12000,1,"Yes",-4.73565,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1046","Cercocebus galeritus","Cercocebus galeritus","Cercopithecidae","Primates",7835.02,1,"Yes",-1.877232,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1047","Cercocebus lunulatus","Cercocebus atys",NA,NA,NA,NA,"No",NA,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048","Cercocebus sanjei","Cercocebus sanjei","Cercopithecidae","Primates",8000,1,"Yes",-7.743651,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049","Cercocebus torquatus","Cercocebus torquatus","Cercopithecidae","Primates",7749.97,1,"No",NA,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1050","Cercopithecus albogularis","Cercopithecus albogularis","Cercopithecidae","Primates",4291.5,0,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1051","Cercopithecus ascanius","Cercopithecus ascanius","Cercopithecidae","Primates",3550,1,"No",NA,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1052","Cercopithecus buettikoferi","Cercopithecus buettikoferi",NA,"Primates",NA,NA,"Yes",7.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1053","Cercopithecus campbelli","Cercopithecus campbelli","Cercopithecidae","Primates",4099.96,1,"No",NA,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1054","Cercopithecus cephus","Cercopithecus cephus","Cercopithecidae","Primates",3484.98,1,"No",NA,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055","Cercopithecus denti","Cercopithecus denti","Cercopithecidae","Primates",4500,1,"Yes",1.2833,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1056","Cercopithecus diana","Cercopithecus diana","Cercopithecidae","Primates",4175.03,1,"Yes",5.5033675,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057","Cercopithecus doggetti","Cercopithecus doggetti","Cercopithecidae","Primates",4291.5,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1058","Cercopithecus dryas","Cercopithecus dryas","Cercopithecidae","Primates",3075,1,"Yes",-2.06203,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1059","Cercopithecus erythrogaster","Cercopithecus erythrogaster","Cercopithecidae","Primates",2500,1,"No",NA,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060","Cercopithecus erythrotis","Cercopithecus erythrotis","Cercopithecidae","Primates",3918.33,1,"No",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1061","Cercopithecus grayi","Cercopithecus grayi",NA,"Primates",NA,NA,"Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062","Cercopithecus hamlyni","Cercopithecus hamlyni","Cercopithecidae","Primates",6875,1,"No",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1063","Cercopithecus insolitus","Cercopithecus insolitus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1064","Cercopithecus kandti","Cercopithecus kandti","Cercopithecidae","Primates",4291.5,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1065","Cercopithecus leucampyx","Cercopithecus leucampyx",NA,"Primates",NA,NA,"Yes",-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1066","Cercopithecus lhoesti","Allochrocebus lhoesti","Cercopithecidae","Primates",5375.02,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1067","Cercopithecus lomamiensis","Cercopithecus lomamiensis","Cercopithecidae","Primates",NA,NA,"Yes",-1.04404,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1068","Cercopithecus lowei","Cercopithecus lowei","Cercopithecidae","Primates",4400,1,"Yes",6.08,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1069","Cercopithecus ludio","Cercopithecus ludio",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1070","Cercopithecus martini","Cercopithecus martini",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1071","Cercopithecus mitis","Cercopithecus mitis","Cercopithecidae","Primates",5000,1,"No",NA,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1072","Cercopithecus mona","Cercopithecus mona","Cercopithecidae","Primates",4208.33,1,"No",NA,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1073","Cercopithecus neglectus","Cercopithecus neglectus","Cercopithecidae","Primates",5479.99,1,"Yes",1.008329,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074","Cercopithecus nicticans","Cercopithecus nicticans",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1075","Cercopithecus nictitans","Cercopithecus nictitans","Cercopithecidae","Primates",5803.34,1,"No",NA,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1076","Cercopithecus nigripes","Cercopithecus nigripes",NA,"Primates",NA,NA,"Yes",-1.5833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077","Cercopithecus opisthostictus","Cercopithecus opisthostictus",NA,"Primates",NA,NA,"Yes",-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1078","Cercopithecus petaurista","Cercopithecus petaurista","Cercopithecidae","Primates",2774.98,1,"No",NA,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079","Cercopithecus pogonias","Cercopithecus pogonias","Cercopithecidae","Primates",3764.96,1,"No",NA,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080","Cercopithecus preussi","Allochrocebus preussi","Cercopithecidae","Primates",5250,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081","Cercopithecus roloway","Cercopithecus roloway","Cercopithecidae","Primates",5500,1,"Yes",6.067,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1082","Cercopithecus sclateri","Cercopithecus sclateri","Cercopithecidae","Primates",3375,1,"Yes",6.3167,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1083","Cercopithecus solatus","Allochrocebus solatus","Cercopithecidae","Primates",6500,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1084","Cercopithecus wolfi","Cercopithecus wolfi","Cercopithecidae","Primates",4000,1,"No",NA,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085","Cerdocyon ensenadensis","Cerdocyon ensenadensis",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1086","Cerdocyon thous","Cerdocyon thous","Canidae","Carnivora",5239.98,1,"Yes",-16.503965,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1087","Cerradomys akroai","Cerradomys akroai","Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1088","Cerradomys goytaca","Cerradomys goytaca","Cricetidae","Rodentia",NA,NA,"Yes",-21.90205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089","Cerradomys langguthi","Cerradomys langguthi","Cricetidae","Rodentia",NA,NA,"Yes",-6.8750015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1090","Cerradomys maracajuensis","Cerradomys maracajuensis","Cricetidae","Rodentia",NA,NA,"Yes",-13.066667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1091","Cerradomys marinhus","Cerradomys marinhus","Cricetidae","Rodentia",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1092","Cerradomys scotti","Cerradomys scotti","Cricetidae","Rodentia",NA,NA,"Yes",-15.783334,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1093","Cerradomys subflavus","Cerradomys subflavus","Cricetidae","Rodentia",NA,NA,"Yes",-17.233333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094","Cerradomys vivoi","Cerradomys vivoi","Cricetidae","Rodentia",NA,NA,"Yes",-14.83335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095","Cervus affinis","Cervus affinis",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096","Cervus albicornis","Cervus albicornis",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097","Cervus albirostris","Przewalskium albirostris","Cervidae","Artiodactyla",NA,NA,"No",NA,"Vulnerable",NA,NA,"establishing_ex_situ_production","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1098","Cervus bactrianus","Cervus bactrianus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1099","Cervus bedfordianus","Cervus bedfordianus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","Cervus browni","Cervus browni",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101","Cervus canadensis","Cervus canadensis","Cervidae","Artiodactyla",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1102","Cervus cashmeerianus","Cervus cashmeerianus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103","Cervus cashmerensis","Cervus cashmerensis",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1104","Cervus cashmirianus","Cervus cashmirianus",NA,"Artiodactyla",NA,NA,"Yes",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1105","Cervus casperianus","Cervus casperianus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","Cervus dimorphe","Cervus dimorphe",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1107","Cervus dybowskii","Cervus dybowskii",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108","Cervus elaphoides","Cervus elaphoides",NA,"Artiodactyla",NA,NA,"Yes",49.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109","Cervus elaphus","Cervus elaphus","Cervidae","Artiodactyla",165015.85,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
