"","species","ID","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory1","redlistCategory2","redlistCategory3","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16"
"1978","Dasyurus albopunctatus",379186,"Dasyuridae","Dasyuromorphia",637,1,"Yes",-5.82161221327405,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1979","Dasyurus daemonellus",7657091,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980","Dasyurus geoffroii",820109,"Dasyuridae","Dasyuromorphia",1100,1,"Yes",-31.9,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981","Dasyurus hallucatus",74731,"Dasyuridae","Dasyuromorphia",525,1,"Yes",-12.701485,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982","Dasyurus maculatus",74729,"Dasyuridae","Dasyuromorphia",5500,1,"Yes",-31.5781325,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983","Dasyurus spartacus",379193,"Dasyuridae","Dasyuromorphia",885.67,1,"Yes",NA,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1984","Dasyurus viverrinus",393372,"Dasyuridae","Dasyuromorphia",1090,1,"Yes",-42.128776,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","Daubentonia madagascariensis",50727,"Daubentoniidae","Primates",2500,1,"Yes",-18.709722,"Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1986","Delanymys brooksi",3610305,"Nesomyidae","Rodentia",5,1,"Yes",-2.38082,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1987","Delomys altimontanus",5340675,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988","Delomys collinus",315215,"Cricetidae","Rodentia",77.94,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","Delomys dorsalis",196751,"Cricetidae","Rodentia",67.5,1,"Yes",-23.65,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990","Delomys sublineatus",247845,"Cricetidae","Rodentia",90,1,"Yes",-22.299999,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991","Delphinapterus leucas",851318,"Monodontidae","Cetacea",1360000,1,"Yes",66.2597,"Not Applicable","Least Concern",NA,"food_human","handicrafts_jewellery","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992","Delphinus capensis",1094064,"Delphinidae","Cetacea",80000,0,"Yes",33.6233,"Data Deficient",NA,NA,"food_animal","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993","Delphinus delphis",698438,"Delphinidae","Artiodactyla",80000,1,"No",NA,"Data Deficient","Least Concern","Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994","Delphinus tropicalis",1094002,"Delphinidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995","Deltamys araucaria",7067236,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996","Deltamys kempi",191287,"Cricetidae","Rodentia",26.4,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1997","Dendrogale melanura",742280,"Tupaiidae","Scandentia",60,1,"Yes",6.0801,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998","Dendrogale murina",396022,"Tupaiidae","Scandentia",50,1,"Yes",12.1827,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1999","Dendrohyrax adersi",7654194,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000","Dendrohyrax arboreus",1079385,"Procaviidae","Hyracoidea",2949.99,1,"Yes",-1.4,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001","Dendrohyrax crawshayi",7654195,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002","Dendrohyrax dorsalis",285372,"Procaviidae","Hyracoidea",3175,1,"Yes",5.28,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003","Dendrohyrax emini",7654196,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004","Dendrohyrax validus",1079385,"Procaviidae","Hyracoidea",NA,NA,"No",NA,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005","Dendrolagus bennettianus",78846,"Macropodidae","Diprotodontia",10950,1,"Yes",-15.966,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","Dendrolagus dorianus",619969,"Macropodidae","Diprotodontia",9581,1,"No",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007","Dendrolagus goodfellowi",567249,"Macropodidae","Diprotodontia",8025,1,"No",NA,"Endangered",NA,NA,"food_human","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008","Dendrolagus inustus",277695,"Macropodidae","Diprotodontia",13031.25,1,"No",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009","Dendrolagus lumholtzi",756151,"Macropodidae","Diprotodontia",6750,1,"Yes",-17.365827,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","Dendrolagus matschiei",579327,"Macropodidae","Diprotodontia",6960,1,"Yes",40.156079,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","Dendrolagus maximus",7657187,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012","Dendrolagus mayri",3606994,NA,NA,NA,NA,"Yes",NA,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013","Dendrolagus mbaiso",3606997,"Macropodidae","Diprotodontia",9395.06,1,"Yes",NA,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014","Dendrolagus notatus",277695,NA,NA,NA,NA,"No",NA,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015","Dendrolagus pulcherrimus",3606993,"Macropodidae",NA,9511.11,0,"Yes",NA,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","Dendrolagus scottae",837434,"Macropodidae","Diprotodontia",10375,1,"Yes",-3.29969206045412,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017","Dendrolagus spadix",555307,"Macropodidae","Diprotodontia",9100,1,"Yes",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018","Dendrolagus stellarum",3606992,"Macropodidae","Diprotodontia",9511.11,0,"Yes",-3.9167,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019","Dendrolagus ursinus",3606996,"Macropodidae","Diprotodontia",13250,1,"Yes",-3.760833,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dendromus haymani",7654846,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021","Dendromus insignis",3608542,"Nesomyidae","Rodentia",11.05,1,"Yes",-1.675,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","Dendromus kahuziensis",3608547,"Nesomyidae",NA,11,1,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023","Dendromus kivu",3608543,NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024","Dendromus lachaisei",7654847,NA,"Rodentia",NA,NA,"Yes",7.87,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025","Dendromus leucostomus",3608541,"Nesomyidae",NA,10.79,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2026","Dendromus lovati",3608538,"Nesomyidae","Rodentia",12,1,"Yes",13.23159,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2027","Dendromus melanotis",3608546,"Nesomyidae","Rodentia",9.06,1,"Yes",-2.50835,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2028","Dendromus mesomelas",1050970,"Nesomyidae","Rodentia",11.12,1,"Yes",-24.34,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2029","Dendromus messorius",3608539,"Nesomyidae","Rodentia",12.81,2,"Yes",7.083333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2030","Dendromus mystacalis",254740,"Nesomyidae","Rodentia",7.72,1,"Yes",0.15,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2031","Dendromus nikolausi",3610450,"Nesomyidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2032","Dendromus nyasae",3608543,"Nesomyidae","Rodentia",13.72,2,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2033","Dendromus nyikae",565421,"Nesomyidae","Rodentia",15,1,"Yes",-13.0667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2034","Dendromus oreas",3608540,"Nesomyidae","Rodentia",12.76,2,"Yes",4.2,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2035","Dendromus ruppi",3608539,NA,NA,NA,NA,"No",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2036","Dendromus vernayi",3608544,"Nesomyidae","Rodentia",12.76,2,"Yes",-11.375,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2037","Dendropithecus orientalis",3607806,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2038","Dendroprionomys rousseloti",3610280,"Nesomyidae",NA,67.18,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2039","Deomys ferrugineus",254745,"Muridae","Rodentia",62,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2040","Dephomys defua",685867,"Muridae","Rodentia",43.05,1,"Yes",5.825,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2041","Dephomys eburneae",3608826,"Muridae","Rodentia",52.5,1,"Yes",7.0955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2042","Dermanura anderseni",805983,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2043","Dermanura azteca",1039987,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2044","Dermanura bogotensis",130225,"Phyllostomidae","Chiroptera",NA,NA,"Yes",4.889278,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2045","Dermanura cinerea",513419,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2046","Dermanura glauca",513426,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2047","Dermanura gnoma",513423,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2048","Dermanura incomitata",658640,"Phyllostomidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2049","Dermanura phaeotis",513447,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2050","Dermanura rava",1016359,"Phyllostomidae","Chiroptera",NA,NA,"Yes",4.601784,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2051","Dermanura rosenbergi",556347,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2052","Dermanura tolteca",362821,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2053","Dermanura watsoni",805986,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2054","Desmalopex leucopterus",740197,"Pteropodidae","Chiroptera",NA,NA,"Yes",13.8,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2055","Desmalopex microleucopterus",268704,"Pteropodidae","Chiroptera",NA,NA,"Yes",12.834,"Endangered",NA,NA,"food_human","research","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2056","Desmana moschata",60434,"Talpidae","Soricomorpha",383,1,"Yes",51.2,"Vulnerable","Endangered",NA,"handicrafts_jewellery","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2057","Desmocyon matthewi",4118005,NA,"Carnivora",NA,NA,"Yes",42.799999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2058","Desmodilliscus braueri",981023,"Muridae","Rodentia",10,1,"Yes",13.85,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2059","Desmodillus auricularis",981029,"Muridae","Rodentia",53.3,1,"Yes",-25.46,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2060","Desmodus dorbignyi",7656370,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2061","Desmodus rotundus",238431,"Phyllostomidae","Chiroptera",31.21,1,"Yes",16.391667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2062","Desmomys harringtoni",170594,"Muridae","Rodentia",90,1,"Yes",7.65,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2063","Desmomys yaldeni",3608637,"Muridae",NA,90,0,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2064","Diaemus youngi",1060472,"Phyllostomidae","Chiroptera",36.31,1,"Yes",6.5,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2065","Dicerorhinus etruscus",4118081,NA,"Perissodactyla",NA,NA,"Yes",45.133331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2066","Dicerorhinus hemitoechus",3614781,NA,"Perissodactyla",NA,NA,"Yes",32.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2067","Dicerorhinus mercki",7656876,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2068","Dicerorhinus steinheimensis",7656877,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2069","Dicerorhinus sumatrensis",1061679,"Rhinocerotidae","Perissodactyla",1266667,1,"No",NA,"Critically Endangered",NA,NA,"medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2070","Diceros bicornis",1034204,"Rhinocerotidae","Perissodactyla",1180510.9,1,"No",NA,"Critically Endangered",NA,NA,"establishing_ex_situ_production","food_human","handicrafts_jewellery","medicine","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2071","Diclidurus albus",1060477,"Emballonuridae","Chiroptera",15.6,1,"Yes",15.98052,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2072","Diclidurus freyreissi",7656297,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2073","Diclidurus ingens",432527,"Emballonuridae","Chiroptera",123,1,"Yes",5.3333335,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2074","Diclidurus isabella",599538,NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2075","Diclidurus isabellus",599538,"Emballonuridae","Chiroptera",14,1,"Yes",4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2076","Diclidurus scutatus",391954,"Emballonuridae","Chiroptera",13.25,1,"Yes",4.33,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2077","Dicrostonyx groenlandicus",603158,"Cricetidae","Rodentia",54.4,1,"Yes",69.383,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2078","Dicrostonyx hudsonius",860654,"Cricetidae","Rodentia",57,1,"Yes",56.217,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2079","Dicrostonyx nelsoni",3608457,"Cricetidae","Rodentia",60.85,2,"Yes",63.7337045467684,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2080","Dicrostonyx nunatakensis",3608455,"Cricetidae","Rodentia",60.82,2,"Yes",64.583333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2081","Dicrostonyx richardsoni",860662,"Cricetidae","Rodentia",55,1,"Yes",64.319444,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2082","Dicrostonyx torquatus",603156,"Cricetidae","Rodentia",85,1,"Yes",75.716667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2083","Dicrostonyx unalascensis",3608460,"Cricetidae","Rodentia",60.84,2,"Yes",53.2229694148899,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2084","Dicrostonyx vinogradovi",3608461,"Cricetidae","Rodentia",60.78,2,"Yes",71.26667,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2085","Didelphis albiventris",606426,"Didelphidae","Didelphimorphia",904,1,"Yes",-25.857553,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2086","Didelphis aurita",810918,"Didelphidae","Didelphimorphia",1163.99,1,"Yes",-23.633052,"Least Concern",NA,NA,"food_human","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2087","Didelphis biforata",7657119,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2088","Didelphis californica",7657120,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2089","Didelphis grandaeva",7657121,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2090","Didelphis imperfecta",846876,"Didelphidae","Didelphimorphia",1260.04,0,"Yes",5.166,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2091","Didelphis incerta",7657122,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2092","Didelphis marsupialis",919176,"Didelphidae","Didelphimorphia",1091.16,1,"Yes",6.627884,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2093","Didelphis paraguayensis",7657123,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2094","Didelphis pernigra",442489,"Didelphidae","Didelphimorphia",1260.04,0,"Yes",4.9144,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2095","Didelphis virginiana",919171,"Didelphidae","Didelphimorphia",2195.48,1,"Yes",32.727782,"Least Concern",NA,NA,"food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2096","Dinaromys bogdanovi",929331,"Cricetidae","Rodentia",56,1,"Yes",43.29623,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2097","Dinomys branickii",234025,"Dinomyidae","Rodentia",12500,1,"Yes",4.093995,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2098","Diomys crumpi",3611119,"Muridae",NA,73.85,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2099","Dionysopithecus shuangouensis",3607808,NA,"Primates",NA,NA,"Yes",33.450001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2100","Diphylla centralis",7656371,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2101","Diphylla ecaudata",1060475,"Phyllostomidae","Chiroptera",29.3,1,"Yes",18.87,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2102","Dipilus rurigenus",7657238,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2103","Diplogale hosei",583720,"Viverridae","Carnivora",3124.89,2,"Yes",3.75,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2104","Diplomesodon pulchellum",850886,"Soricidae","Soricomorpha",11,1,"Yes",45,"Not Applicable","Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2105","Diplomesodon sonnerati",7656635,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
