"","synonyms"
"1994","Dendromus typicus"
"1995","Dendromys pumilio"
"1996","Malacothrix egeria"
"1997","Dendromus typus"
"1998","Dendromys messorius"
"1999","Dendromus ruddi"
"2000","Dendromus jamesoni pongolensis"
"2001","Dendromus whytei pallescens"
"2002","Dendromus whytei capitis"
"2003","Dendromus ochropus"
"2004","Dendromus jamesoni"
"2005","Dendromus lineatus"
"2006","Dendromus acraeus"
"2007","Megadendromus nicolausi"
"2008","Megadendromus nikolausi"
"2009","Dendromus longicaudatus"
"2010","Dionysopithecus orientalis"
"2011","Mus defua"
"2012","Dephomys eburnea"
"2013","Artibeus bogotensis"
"2014","Artibeus cinereus bogotensis"
"2015","Artibeus glaucus bogotensis"
"2016","Artibeus sp. PAL-2006"
"2017","Artibeus (Dermanura) incomitatus"
"2018","Artibeus incomitatus"
"2019","Artibeus phaeotis ravus"
"2020","Artibeus rava"
"2021","Pteropus leucopterus"
"2022","Castor moschata"
"2023","Desmodilliscus buchanani"
"2024","Desmodillus auricularis pudicus"
"2025","Gerbillus brevicaudatus"
"2026","Phyllostoma rotundum"
"2027","Desmodus youngi"
"2028","Stephanorhinus etruscus"
"2029","Rhinoceros etruscus"
"2030","Stephanorhinus hemitoechus"
"2031","Rhinoceros hemitoechus"
"2032","Rhinoceros mercki"
"2033","Dicerorhinus choukoutienensis"
"2034","Depanycteris isabella"
"2035","Dicrostonyx groenlandicus lentus"
"2036","Dicrostonyx groenlandicus clarus"
"2037","Dicrostonyx hudsonius alascensis"
"2038","Dicrostonyx groenlandicus kilangmiutak"
"2039","Dicrostonyx rubricatus"
"2040","Dicrostonyx kilangmiutak"
"2041","Arvicola rubricatus"
"2042","Mus hudsonius"
"2043","Dicrostonyx unalascensis peninsulae"
"2044","Dicrostonyx exsul"
"2045","Mus torquatus"
"2046","Mus lenensis"
"2047","Myodes torquatus pallida"
"2048","Dicrostonyx chionopaes"
"2049","Lemmus ungulatus"
"2050","Mus lenae"
"2051","Dicrostonyx unalascensis stevensoni"
"2052","Didelphis marsupialis virginiana"
"2053","Microtus bogdanovi"
"2054","Dolomys grebenscikovi korabensis"
"2055","Dolomys bogdanovi preniensis"
"2056","Dolomys grebenscikovi"
"2057","Microtus marakovici"
"2058","Dinomys branicki"
"2059","Hylobates tianganhuensis"
"2060","Pliopithecus wangi"
"2061","Pliopithecus wongi"
"2062","Hemigale hosei"
"2063","Sorex pulchellum"
"2064","Mus bowersi okinavensis"
"2065","Diplothrix legatus"
"2066","Gerbillus bottai"
"2067","Gerbillus campestris"
"2068","Dipodillus campestrist riparius"
"2069","Dipodillus campestris rozsikae"
"2070","Dipodillus campestris roszikae"
"2071","Dipodillus campestris cinnamomeus"
"2072","Dipodillus dodsoni patrizii"
"2073","Dipodillus campestris haymani"
"2074","Gerbillus campestris wassifi"
"2075","Gerbillus quadrimaculatus"
"2076","Dipodillus dodsoni"
"2077","Dipodillus hilda"
"2078","Gerbillus dasyurus"
"2079","? dasyurus"
"2080","Dipodillus dasyroides"
"2081","Gerbillus harwoodi"
"2082","Dipodillus luteus"
"2083","Gerbillus jamesi"
"2084","Gerbillus lowei"
"2085","? lowei"
"2086","Gerbillus mackillingini"
"2087","Gerbillus maghrebi"
"2088","Gerbillus rupicola"
"2089","Gerbillus simoni"
"2090","Dipodillus kaiseri"
"2091","Gerbillus somalicus"
"2092","? somalicus"
"2093","Gerbillus stigmonyx"
"2094","Perodipus ingens"
"2095","Dipodomys phillipsii ornatus"
"2096","Dipodomys phillipsi"
"2097","Dipodomys cascus"
"2098","Cephalotes minor"
"2099","Hypoderma moluccensis"
"2100","Cephalotes viridis"
"2101","Dolichopithecus hipsulophus"
"2102","Adelopithecus hypsilophus"
"2103","Pediolagus salinicola"
"2104","Kangurus veterum"
"2105","Dorcopsis vanheurni"
"2106","Sundasciurus everetti"
"2107","Dromiciops australis"
"2108","Didelphys australis"
"2109","Sigmodontinae sp. MVZ182088"
"2110","Rudapithecus hungaricus"
"2111","Rangwapithecus sericus"
"2112","Rangwapithecus serus"
"2113","Gigantopithecus giganteus"
"2114","Indopithecus giganteus"
"2115","Sivapithecus orientalis"
"2116","Sivapithecus indicus"
"2117","Nyanzapithecus vancouveringorum"
"2118","Halicore hemprichii"
"2119","Halicore tabernaculi"
"2120","Halicore lottum"
"2121","Halicore cetacea"
"2122","Trichechus dugung"
"2123","Dugong dugon hemprichii"
"2124","Trichechus dugon"
"2125","Halicore australis"
"2126","Halicore dugong"
"2127","Halicore australe"
"2128","Halicore dugung"
"2129","Dugong dugon dugon"
"2130","Dugong dugon tabernaculi"
"2131","Dugong dugong"
"2132","Canis australis"
"2133","Canis platensis"
"2134","Ducicyon avus"
"2135","Cynopterus spadiceus"
"2136","Urotrichus pilirostris"
"2137","Echimys cristatus"
"2138","Myoxus chrysurus"
"2139","Echinops telfairii"
"2140","Viverra gymnura"
"2141","Echiothrix brevicula"
"2142","Eidolon dupraenum"
"2143","Eidolon helvum dupraenum"
"2144","Pteropus dupreanus"
"2145","Mustela barbara"
"2146","Galictis barbara"
"2147","Tayra barbara"
"2148","Cervus davidianus"
"2149","Macroscelides brachyrhynchus"
"2150","Macroscelides brachyrhynchus malosae"
"2151","Macroscelides fuscipes"
"2152","Macroscelides intufi alexandri"
"2153","Macroscelides intufi"
"2154","Archidiskodon celebensis"
"2155","Eligmodontia sp. bolsonensis"
"2156","Phyllotis hirtipes"
"2157","Eligmodontia hirtipes jacunda"
"2158","Eligmodontia puerulus tarapacensis"
"2159","Graomys hypogaeus"
"2160","Mus elegans"
"2161","Eligmodontia marica"
"2162","Eliomys cyrenaicus"
"2163","Eliomys lerotinus tunetae"
"2164","Eliomys lerotinus occidentalis"
"2165","Eliomys quercinus denticulatus"
"2166","Bifa lerotina"
"2167","Eliomys jurassicus"
"2168","Mus quercinus"
"2169","Eliomys quercinus quercinus"
"2170","Eliomys quercinus gymnesicus"
"2171","Eliomys quercinus sardus"
"2172","Eliomys quercinus gotthardus"
"2173","Eliomys nitela lusitanica"
"2174","Eliomys quercinus superans"
"2175","Eliomys quercinus raticus"
"2176","Eliomys quercinus ophiusae"
"2177","Eliomys quercinus liparensis"
"2178","Myoxus nitela amori"
"2179","Eliomys quercinus jurrasicus"
"2180","Eliomys quercinus dichrurus"
"2181","Eliomys quercinus valverdei"
"2182","Eliomys quercinus lusitanicus"
"2183","Eliomys sardus"
"2184","Eliomys superans"
"2185","Eliomys cincticauda"
"2186","Eliomys nitela"
"2187","Eliomys gotthardus"
"2188","Eliomys ophiusae"
"2189","Eliomys hortualis"
"2190","Eliomys gymnesicus"
"2191","Eliomys pallidus"
"2192","Eliomys hamiltoni"
"2193","Myoxus nitela"
"2194","Eliurus sp. SAJ-2009a"
"2195","Ellobius farsistani"
"2196","Ellobius intermedius"
"2197","Ellobius fuscocapillus legendrei"
"2198","Ellobius woosnami"
"2199","Ellobius talpinus transcaspiae"
"2200","Myotalpa talpina"
"2201","Ellobius talpinus ciscaucasica"
"2202","Mus talpinus"
"2203","Georychus rufescens"
"2204","Spalax murinus"
"2205","Ellobius fusciceps ursulus"
"2206","Ellobius talpinus ognevi"
"2207","Ellobius kastschenkoi"
"2208","Ellobius albicatus"
"2209","Ellobius fuscipes"
"2210","Ellobius coenosus"
"2211","Ellobius larvatus"
"2212","Paremballonura atrata"
"2213","Paremballonura tiavato"
"2214","Hyaenocyon basilatus"
"2215","Enhydrocyon oregonensis"
"2216","Hylopetes fimbriatus"
"2217","? fimbriatus"
"2218","Myospalax rothschildi"
"2219","Myospalax minor"
"2220","Eospalax smithi"
"2221","Myospalax smithi"
"2222","Myospalax smithii"
"2223","Eothenomys melanogaster confinii"
"2224","Eothenomys tarquinius"
"2225","Microtus chinensis tarquinius"
"2226","Eothenomys melanogaster colurnus"
"2227","Caryomys eva"
"2228","Caryomys inez"
"2229","Microtus nux"
"2230","? inez"
"2231","Eothenomys fidelis"
"2232","Myodes smithii"
"2233","Clethrionomys rufocanus okiensis"
"2234","? smithii"
"2235","Phaulomys smithii"
"2236","Eothenomys chinensis wardi"
"2237","Zapus setchuanus vicinus"
"2238","Soriculus fumidus"
"2239","Episoriculus leucopus"
"2240","Soriculus leucops"
"2241","Sorex leucops"
"2242","Soriculus macrurus"
"2243","Sciurus ebii"
"2244","Epomophorus macrocephalus angolensis"
"2245","Micropterus grandis"
"2246","Pteropus labiatus"
"2247","Pteropus wahlbergi"
"2248","Epomophorus buettikoferi"
"2249","Epomops dobsoni"
"2250","Epomophorus dobsonii"
"2251","Epomophorus franqueti"
"2252","Eptesicus bobrinskii"
"2253","Glauconycteris floweri"
"2254","Vespertilio innoxius"
"2255","Eptesicus nilsonii"
"2256","Eptesicus nilssoni"
"2257","Eptesicus borealis"
"2258","Eptesicus atratus"
"2259","Vesperugo pachyotis"
"2260","Vespertilio platyops"
"2261","Vespadelus regulus"
"2262","Vespadelus sagittula"
"2263","Vespadelus darlingtoni"
"2264","Eptesicus darlingtoni"
"2265","Vespadelus vulturnus"
"2266","Eptesicus pumilus vulturnus"
"2267","Equus przewalskii f. caballus"
"2268","Equus przewalskii forma caballus"
"2269","Equus hippagrus"
"2270","Equus neogeus"
"2271","Equus ferus caballus"
"2272","Equus caballus fossilis"
"2273","Equus neogaeus"
"2274","Equus caballus germanicus"
"2275","Hippidium neogaeum"
"2276","Equus caballus domesticus"
"2277","Equus caballus caballus"
"2278","Hipphaplus bravardi"
"2279","Equus caballus piveteaui"
"2280","Equus caballus gallicus"
"2281","Equus asinus hippagrus"
"2282","Equus caballus ferus"
"2283","Equus sylvestris"
"2284","Equus ferus ferus"
"2285","Equus gmelini"
"2286","Equus grevyi berberensis"
"2287","Dolichohippus grevyi"
"2288","Equus faurei"
"2289","Equus (Amerhippus) neogeus"
"2290","Equus (Sussemionus) ovodovi"
"2291","Equus caballus przewalskii"
"2292","Equus ferus przewalskii"
"2293","Eremodipus lichtensteini jaxartensis"
"2294","Eremodipus lichtensteini balkhashensis"
"2295","Oryzomys polius"
"2296","Coendou cumberlandicus"
"2297","Erethizon epixanthus"
"2298","Erethizon cloacinum"
"2299","Erethizon godfreyi"
"2300","Hystrix dorsata"
"2301","Erethizon dorsata"
"2302","Phoca barbata"
"2303","Phoca leporina"
"2304","Phoca lepechenii"
"2305","Phoca parsonii"
"2306","Phoca albigena"
"2307","Erinaceus europaeus europaeus"
"2308","Erinaceus europaeus centralrossicus"
"2309","Erinaceus erinaceus centralrossicus"
"2310","Erinaceus erinaceus europaeus"
"2311","Erinaceus dissimilis"
"2312","Erinaceus erinaceus"
"2313","Erinaceus concolor roumanicus"
"2314","Erinaceus europaeus roumanicus"
"2315","Erophylla bombifrons"
"2316","Cercopithecus patas"
"2317","Erythrocebus formosus"
"2318","Cercopithecus ruber"
"2319","Erythrocebus patas villiersi"
"2320","Simia ruber nigro-fasciatus"
"2321","Cercopithecus patas sannio"
"2322","Simia ruber albo-fasciatus"
"2323","Cercopithecus patas albosignatus"
"2324","Erythrocebus whitei"
"2325","Cercopithecus patas poliomystax"
"2326","Erythrocebus zechi"
"2327","Erythrocebus albigenus"
"2328","Simia rubra"
"2329","Cercopithecus circumcinctus"
"2330","Simia rufa"
"2331","Cercopithecus kerstingi"
"2332","Erythrocebus langheldi"
"2333","Cercopithecus poliophaeus"
"2334","Cercopithecus poliophaeus"
"2335","Balaenoptera robusta"
"2336","Eschrichtius gibbosus"
"2337","Eschrichtius glaucus"
"2338","Balaena gibbosa"
"2339","Balaena boops"
"2340","Agaphelus glaucus"
"2341","Rachianectes glaucus"
"2342","Agaphelus gibbosus"
"2343","Rhachianectes glaucus"
"2344","Plesiocetus robustus"
"2345","Eschrichtius robusta"
"2346","Balaena capensis"
"2347","Balaena australis"
"2348","Balaena glacialis"
"2349","Balaena antarctica"
"2350","Balaena hectori"
"2351","Balaena antipodum"
"2352","Eubalaena capensis"
"2353","Halibalaena britannica"
"2354","Baloena australis"
"2355","Caperea antipodarum"
"2356","Balaena mysticetus antarcticus"
"2357","Balaena britannica"
"2358","Hunterus temminckii"
"2359","Eubalaena glacialis australis"
"2360","Balaena glacialis australis"
"2361","Balaena antipodarum"
"2362","Macleayius australiensis"
"2363","Balaena glacialis"
"2364","Balaena islandica"
"2365","Balaena eubalaena"
"2366","Balaena euskariensis"
"2367","Balaena cisarctica"
"2368","Balaena biscayensis"
"2369","Balaena vanbenediana"
"2370","Balaena mediterranea"
"2371","Balaena nordcaper"
"2372","Balaena tarentina"
"2373","Balaena vanbenedeniana"
"2374","Hunterius svendenborgii"
"2375","Balaena swedenborgii"
"2376","Hunterius temminckii"
"2377","Macleayius britannicus"
"2378","Balaena mysticetus islandica"
"2379","Eubalaena glacialis glacialis"
"2380","Baloena glacialis"
"2381","Hunterius swedenborgii"
"2382","Balaena glacialis glacialis"
"2383","Balaena svendenborgii"
"2384","Balaena alutiensis"
"2385","Balaena japonica"
"2386","Balaena cullamacha"
"2387","Balaena kuliomoch"
"2388","Balaena australis"
"2389","Balaena culammak"
"2390","Balaena cullamach"
"2391","Eubalaena sieboldii"
"2392","Balaenoptera antarctica"
"2393","Balaena sieboldii"
"2394","Balaena lunulata"
"2395","Balaena antarctica"
"2396","Balaena aleoutiensis"
"2397","Eubalaena glacialis sieboldii"
"2398","Eubalaena glacialis japonica"
"2399","Euchoreutes naso alashanicus"
"2400","Histiotus maculatus"
"2401","Discopus denticulus"
"2402","Gazella rufifrons"
"2403","Gazella rufina"
"2404","Eudorcas rufifrons thomsonii"
"2405","Gazella rufifrons thomsonii"
"2406","Gazella thomsoni"
"2407","Gazella thomsonii"
"2408","Eulemur fulvus albifrons"
"2409","Eulemur macaco albifrons"
"2410","Lemur albifrons"
"2411","Lemur macaco albifrons"
"2412","Prosimia frederici"
"2413","Eulemur albocollaris"
"2414","Lemur fulvus albocollaris"
"2415","Lemur coronatus"
"2416","Lemur chrysampyx"
"2417","Eulemur macaco flavifrons"
"2418","? flavifrons"
"2419","Lemur flavifrons"
"2420","Lemur nigerrimus"
"2421","Lemur mongoz"
"2422","Prosimia brissonii"
"2423","Prosimia bugi"
"2424","Lemur nigrifrons"
"2425","Lemur dubius"
"2426","Lemur cuvieri"
"2427","Prosimia ocularis"
"2428","Prosimia micromongoz"
"2429","Lemur rubriventer"
"2430","Lemur rufiventer"
"2431","Lemur flaviventer"
"2432","Prosimia rufipes"
"2433","Lemur rufifrons"
"2434","Eulemur fulvus rufus"
"2435","Eulemur fulvus sanfordi"
"2436","? sanfordi"
"2437","Phoca jubata"
"2438","Eumetopias stelleri"
"2439","Otaria jubata"
"2440","Phoca stelleri"
"2441","Otaria stellerii"
"2442","Arctocephalus monteriensis"
"2443","Eumops bonariensis delticus"
"2444","Eumops geijskesi"
"2445","Molossus maurus"
"2446","Promops trumbulli"
"2447","Euneomys ultimus"
"2448","Euneomys noei"
"2449","Euneomys dabbeni"
"2450","Galago elegantulus tonsor"
"2451","Galago elegantulus"
"2452","Otolicnus apicalis"
"2453","Eupleres goudoti"
"2454","Talpa klossi"
"2455","Talpa klossi malayana"
"2456","Talpa longirostris"
"2457","Euroscaptor micrura malayana"
"2458","Talpa micrura"
"2459","Talpa mizura"
"2460","Talpa parvidens"
"2461","Oryzomys emmonsae"
"2462","Oryzomys lamia"
"2463","Oryzomys legatus"
"2464","Oryzomys macconnelli"
"2465","Oryzomys nitidus"
"2466","? nitidus"
"2467","Oryzomys intermedius"
"2468","Oryzomys russatus"
"2469","Oryzomys kelloggi"
"2470","? russatus"
"2471","Euryzygomatomys guiara"
"2472","Pipistrellus affinis"
"2473","Vesperugo affinis"
"2474","Pipistrellus mordax"
"2475","Vesperugo mordax"
"2476","Pipistrellus tasmaniensis"
"2477","Vespertilio tasmaniensis"
"2478","Vesperugo krefftii"
"2479","Felis domesticus"
"2480","Felis silvestris catus"
"2481","Korat cats"
"2482","Felis lybica domestica"
"2483","Felis catus domestica"
"2484","Massoutiera vae"
"2485","Grampus intermedius"
"2486","Feresa occulta"
"2487","Feresa intermedia"
"2488","Delphinus intermedius"
"2489","Feresia intermedia"
"2490","Ferasa attenuate"
"2491","Feresia attenuata"
"2492","Orca intermedia"
"2493","Viverra fossana"
"2494","Coetomys amatus"
"2495","Cryptomys amatus"
"2496","Coetomys anselli"
"2497","Cryptomys anselli"
"2498","Cryptomys bocagei"
"2499","Cryptomys kubangensis"
"2500","Cryptomys choma"
"2501","Coetomys damarensis"
"2502","Cryptomys damarensis"
"2503","Coetomys darlingi"
"2504","Cryptomys darlingi"
"2505","Cryptomys beirae"
"2506","Cryptomys zimbitiensis"
"2507","Cryptomys nimrodi"
"2508","Coetomys foxi"
"2509","Cryptomys foxi"
"2510","Coetomys kafuensis"
"2511","Cryptomys kafuensis"
"2512","Coetomys mechowi"
"2513","Cryptomys mechowi"
"2514","Cryptomys mechowii"
"2515","Fukomys mechowi"
"2516","Coetomys micklemi"
"2517","Cryptomys damarensis micklemi"
"2518","Cryptomys micklemi"
"2519","Georychus micklemi"
"2520","Coetomys ochraceocinereus"
"2521","Cryptomys ochraceocinereus"
"2522","Cryptomys zechi"
"2523","Georychus zechi"
"2524","Funambulus layardi layardi"
"2525","Funambulus layardi dravidianus"
"2526","Sciurus palmarum"
"2527","Funambulus pennanti"
"2528","? praetextus"
"2529","Funisciurus praetextus"
"2530","Atlantoxerus praetextus"
"2531","Funisciurus isabella isabella"
"2532","Funisciurus isabella dubosti"
"2533","Furia horrens"
"2534","Galagoides alleni"
"2535","Sciurocheirus alleni"
"2536","Galago alleni gabonensis"
"2537","Sciurocheirus gabonensis"
"2538","Galago gabonensis batesi"
"2539","Galago senegalensis granti"
"2540","Galagoides granti"
"2541","Galagoides zanzibaricus granti"
"2542","Paragalago granti"
"2543","Galago nyasae"
"2544","Galago mertensi"
"2545","Galago cocos"
"2546","Paragalago orinus"
"2547","Galago orinus"
"2548","Galago rondoensis"
"2549","Paragalago rondoensis"
"2550","Galago thomasi"
"2551","Galago senegalensis inustus"
"2552","Galago senegalensis moholi"
"2553","Otolicnus mossambicus"
"2554","Galago moholi bradfieldi"
"2555","Galago moholi intontoi"
"2556","Galago conspicillatus"
"2557","Galago tumbolensis"
"2558","Cavia spixii"
"2559","Nothocyon latidens"
"2560","Phlaocyon latidens"
"2561","Cormocyon latidens"
"2562","Cynodictis latidens"
"2563","Pyrenean desman"
"2564","Mygale pyrenaicus"
"2565","Galerella flavescens nigratus"
"2566","Galerella nigratus"
"2567","Herpestes ochraceus"
"2568","Herpestes pulverulentus"
"2569","Herpestes sanguineus"
"2570","Herpestes sanguineus orestes"
"2571","Mungos sanguineus"
"2572","Mungos sanguineus orestes"
"2573","Mustela cuja"
"2574","Viverra vittata"
"2575","Mustela striata"
"2576","Viverra fasciata"
"2577","Putorius striatus"
"2578","Galidictis fasciata striata"
"2579","Viverra striata"
"2580","Galidictis striata"
"2581","Mimon crenulatum"
"2582","Mimon koepckeae"
"2583","Gazella dorca arabica"
"2584","Gazella gazella arabica"
"2585","Antilope cuvieri"
"2586","Gazella gazella erlangeri"
"2587","Gazella dorcas saudiya"
"2588","Gazella speki"
"2589","Viverra abyssinica"
"2590","Genetta servalina cristata"
"2591","Genetta genetta pyrenaica"
"2592","Viverra genetta"
"2593","Genetta rubiginosa"
"2594","Viverra maculata"
"2595","Genetta maculata poensis"
"2596","Poiana poensis"
"2597","Genetta tigrina thierryi"
"2598","Viverra tigrina"
"2599","Geocapromys browni"
"2600","Geocapromys brachyurus"
"2601","Geocapromys ingrahamii"
"2602","Geomys bursarius arenarius"
"2603","Geomys bursarius knoxjonesi"
"2604","Geomys personatus streckeri"
"2605","Mus buffoni"
"2606","Mus capensis"
"2607","Myotalpa capensis"
"2608","Fossor leucops"
"2609","Georychus buffonii"
"2610","Georychus yatesi"
"2611","Georychus leucops"
"2612","Georychus capensis canescens"
"2613","Geoxus sp. GDE-2016a"
"2614","Notiomys valdivianus bullocki"
"2615","Notiomys valdivianus bicolor"
"2616","Tatera afra"
"2617","Tatera afra gilli"
"2618","Gerbillus afra"
"2619","Gerbillus africanus"
"2620","Meriones caffer"
"2621","Meriones schlegelii"
"2622","Tatera varia"
"2623","Tatera boehmi"
"2624","? boehmi"
"2625","? brantsii"
"2626","Tatera brantsii"
"2627","Tatera draco"
"2628","Meriones montanus"
"2629","Meriones maccalinus"
"2630","Tatera breyeri"
"2631","Gerbilliscus gambianus gambiana"
"2632","Gerbilliscus kempi gambiana"
"2633","Tatera gambiana"
"2634","Tatera kempi gambiana"
"2635","Tatera guinea"
"2636","Tatera guineae picta"
"2637","Tatera guineae"
"2638","Tatera inclusa"
"2639","Tatera kempi"
"2640","Tatera leucogaster"
"2641","Tatera schinzi waterbergensis"
"2642","Tatera miliaria stellae"
"2643","Tatera lobengulae beirensis"
"2644","Tatera lobengulae mashonae"
"2645","Tatera miliaria salsa"
"2646","Tatera lobengulae limpopoensis"
"2647","Tatera lobengulae pretoriae"
"2648","Tatera lobengulae pestis"
"2649","Tatera lobengulae bechuanae"
"2650","Tatera lobengulae mitchelli"
"2651","Tatera lobengulae tzaneenensis"
"2652","Tatera lobengulae littoralis"
"2653","Gerbillus lobengulae"
"2654","Tatera lobengulae zuluensis"
"2655","? leucogaster"
"2656","Tatera panja"
"2657","Tatera nigricauda"
"2658","? nigricaudus"
"2659","Tatera nigracauda percivali"
"2660","Tatera nigricauda nyama"
"2661","Tatera phillipsi"
"2662","? phillipsi"
"2663","Tatera robusta"
"2664","Tatera mombasae"
"2665","Tatera pothae"
"2666","Tatera iconica"
"2667","? robustus"
"2668","Gerbillus vicinus"
"2669","Tatera valida"
"2670","? validus"
"2671","Gerbilliscus robustus vicinus"
"2672","Tatera vicina"
"2673","Gerbillus paeba swakopensis"
"2674","Gerbillus paeba mulleri"
"2675","Gerbillus calidus kalaharicus"
"2676","Gerbillus paeba broomi"
"2677","Gerbillus paeba leucanthus"
"2678","Gerbillus calidus"
"2679","Gerbillus tenuis"
"2680","Gerbillus swalius"
"2681","Gerbillurus vallianus"
"2682","Gerbillus dalloni"
"2683","Gerbillus cosensi"
"2684","Gerbillus cosensis"
"2685","Gerbillus arduus"
"2686","Gerbillus pyramidum floweri"
"2687","Gerbillus gerbillus sudanensis"
"2688","Gerbillus gerbillus asyutensis"
"2689","Meriones longicaudus"
"2690","Gerbillus foleyi"
"2691","Gerbillus aegyptius"
"2692","Gerbillus hirtipes"
"2693","Millardia gleadowi"
"2694","Gerbillus henleyi makrami"
"2695","Dipodillus jordani"
"2696","Dipodillus mariae"
"2697","Dipodillus arabium"
"2698","Gerbillus lixa"
"2699","Dipodillus indus"
"2700","Dipodillus mimulus"
"2701","Gerbillus bilensis"
"2702","Gerbillus diminutus"
"2703","Gerbillus percivali"
"2704","Gerbillus ruberrimus"
"2705","Gerbillus riggenbachi"
"2706","Dipodillus vivax"
"2707","Gerbillus juliani"
"2708","Giraffa camelopardalis reticulata"
"2709","Giraffa camelopardalis rothschildi"
"2710","Giraffa camelopardalis tippelskirchi"
"2711","Giraffa camelopardalis thornicrofti"
"2712","Chalinolobus alboguttatus"
"2713","Glauconycteris alboguttatus"
"2714","Chalinolobus argentatus"
"2715","Chalinolobus beatrix"
"2716","Chalinolobus egeria"
"2717","Chalinolobus gleni"
"2718","Chalinolobus kenyacola"
"2719","Chalinolobus poensis"
"2720","Kerivoula poensis"
"2721","Chalinolobus variegatus"
"2722","Glirulus lasiotis"
"2723","Glirulus elegans"
"2724","Myoxus elegans"
"2725","Myoxus javanicus"
"2726","Myoxus lasiotis"
"2727","Myoxus glis"
"2728","Glis insularis"
"2729","Glis glis tschetshenicus"
"2730","Glis glis postus"
"2731","Glis glis spoliatus"
"2732","Glis glis subalpinus"
"2733","Glis glis minutus"
"2734","Glis glis abruttii"
"2735","Glis glis pyrenaicus"
"2736","Glis glis petruccii"
"2737","Glis glis italicus"
"2738","Glis glis melonii"
"2739","Myoxus glis orientalis"
"2740","Glis italicus intermedius"
"2741","Myoxus glis caspius"
"2742","Myoxus glis argenteus"
"2743","Myoxus glis pindicus"
"2744","Myoxus glis italicus"
"2745","Glis glis argenteus"
"2746","Myoxus glis pyrenaicus"
"2747","Myoxus glis melonii"
"2748","Glis glis pindicus"
"2749","Myoxus avellanus"
"2750","Sciurus persicus"
"2751","Myoxus giglis"
"2752","Glis esculentus"
"2753","Glis melonii"
"2754","Glis vulgaris"
"2755","Glis italicus"
"2756","Sciurus glis"
"2757","Globicephala sieboldii"
"2758","Globicephala brachycephala"
"2759","Globicephala indica"
"2760","Globicephala chinensis"
"2761","Globicephala mela"
"2762","Globicephala macrorhyncha"
"2763","Globicephala scammonii"
"2764","Globicephala scammoni"
"2765","Globicephala scamonii"
"2766","Globicephala ventricosa"
"2767","Globicephala brachypterus"
"2768","Globicephalus sibo"
"2769","Globiocephalus propinquus"
"2770","Globicephalus macrorhynchus"
"2771","Globicephalus scammoni"
"2772","Globiocephala macrorhyncha"
"2773","Globicephalus scammonii"
"2774","Globicephala baereckeii"
"2775","Globicephala melas scammonii"
"2776","Globicephalus baereckeii"
"2777","Globicephalus brachypterus"
"2778","Globiocephalus guadaloupensis"
"2779","Globiocephalus macrorhynchus"
"2780","Globiocephalus sieboldii"
"2781","Globicephala melaena sieboldi"
"2782","Globiceps macrorhynca"
"2783","Globicephalus ventricosus"
"2784","Globiocephalus intermedius"
"2785","Globicephala melaena"
"2786","Globicephala meloena"
"2787","Grampus affinis"
"2788","Globicephala leucosagmaphora"
"2789","Delphinus grampus"
"2790","Delphinus deductor"
"2791","Delphinus globiceps"
"2792","Delphinus melas"
"2793","Delphinus grinda"
"2794","Globicephalus chilensis"
"2795","Globicephalus affinis"
"2796","Globiocephalus incrassatus"
"2797","Phocaena edwardsii"
"2798","Globicephalus conductor"
"2799","Globicephalus melas"
"2800","Globiocephalus affinis"
"2801","Globiocephalus melas"
"2802","Phocaena globiceps"
"2803","Globicephalus australis"
"2804","Globiocephalus swineval"
"2805","Globicephalus indicus"
"2806","Globicephalus svineval"
"2807","Globicephalus edwardsii"
"2808","Globicephalus intermedius"
"2809","Globiocephalus svineval"
"2810","Globiocephalus chilensis"
"2811","Globicephalus chiliensis"
"2812","Globiocephalus indicus"
"2813","Globiceps affinis"
"2814","Sphaerocephalus incrassatus"
"2815","Globicephala edwardii"
"2816","Globicephala melas leucosagmaphora"
"2817","Globiceps melas"
"2818","Phocaena edwardii"
"2819","Globicephalus globiceps"
"2820","Glossophaga leachi"
"2821","Monophyllus leachii"
"2822","Micronycteris behnii"
"2823","Schizostoma behnii"
"2824","Micronycteris daviesi"
"2825","Barticonycteris daviesi"
"2826","Micronycteris sylvestris"
"2827","Golunda ellioti coraginis"
"2828","Golunda ellioti coenosa"
"2829","Golunda ellioti gujerati"
"2830","Golunda ellioti limitaris"
"2831","Golunda ellioti bombax"
"2832","Golunda ellioti paupera"
"2833","Mus myothrix"
"2834","Mus newara"
"2835","Golunda coffaeus"
"2836","Mus hirsutus"
"2837","Pelomys watsoni"
"2838","Marmosa dryas"
"2839","Marmosa emiliae"
"2840","Marmosa formosa"
"2841","Marmosa marica"
"2842","Gracilinanus agilis peruanus"
"2843","Marmosa agilis peruana"
"2844","Thamnomys discolor"
"2845","Thamnomys dolichurus littoralis"
"2846","Thamnomys surdaster polionops"
"2847","Mus arborarius"
"2848","Thamnomys surdaster"
"2849","Thamnomys gazellae"
"2850","Thamnomys macmillani gazellae"
"2851","Thamnomys oblitus"
"2852","Grammomys rutilans"
"2853","Thamnomys rutilans"
"2854","Grammomys dolichurus surdaster"
"2855","Thamnomys surdaster"
"2856","Grampus stearnsii"
"2857","Grampus richardsoni"
"2858","Grampus sowerbianus"
"2859","Grampus sakata"
"2860","Grampus sakamata"
"2861","Grampus rissoanus"
"2862","Delphinus orca"
"2863","Delphinus griseus"
