"","species"
"1755","Dicrostonyx hudsonius"
"1756","Dicrostonyx nelsoni"
"1757","Dicrostonyx nunatakensis"
"1758","Dicrostonyx richardsoni"
"1759","Dicrostonyx torquatus"
"1760","Dicrostonyx unalascensis"
"1761","Dicrostonyx vinogradovi"
"1762","Didelphis albiventris"
"1763","Didelphis aurita"
"1764","Didelphis biforata"
"1765","Didelphis californica"
"1766","Didelphis grandaeva"
"1767","Didelphis imperfecta"
"1768","Didelphis incerta"
"1769","Didelphis marsupialis"
"1770","Didelphis paraguayensis"
"1771","Didelphis pernigra"
"1772","Didelphis virginiana"
"1773","Dinaromys bogdanovi"
"1774","Dinomys branickii"
"1775","Diomys crumpi"
"1776","Dionysopithecus shuangouensis"
"1777","Diphylla centralis"
"1778","Diphylla ecaudata"
"1779","Dipilus rurigenus"
"1780","Diplogale hosei"
"1781","Diplomesodon pulchellum"
"1782","Diplomesodon sonnerati"
"1783","Diplomys caniceps"
"1784","Diplomys labilis"
"1785","Diplothrix legata"
"1786","Dipodillus bottai"
"1787","Dipodillus campestris"
"1788","Dipodillus dasyurus"
"1789","Dipodillus harwoodi"
"1790","Dipodillus jamesi"
"1791","Dipodillus lowei"
"1792","Dipodillus mackilligini"
"1793","Dipodillus maghrebi"
"1794","Dipodillus nanus"
"1795","Dipodillus rupicola"
"1796","Dipodillus simoni"
"1797","Dipodillus somalicus"
"1798","Dipodillus stigmonyx"
"1799","Dipodillus zakariai"
"1800","Dipodomys compactus"
"1801","Dipodomys elator"
"1802","Dipodomys elephantinus"
"1803","Dipodomys gravipes"
"1804","Dipodomys ingens"
"1805","Dipodomys insularis"
"1806","Dipodomys nelsoni"
"1807","Dipodomys ornatus"
"1808","Dipodomys phillipsii"
"1809","Dipodomys spectabilis"
"1810","Dipodomys stephensi"
"1811","Dipus deasyi"
"1812","Distoechurus pennatus"
"1813","Diunatans luctoretemergo"
"1814","Djebelemur martinezi"
"1815","Dobsonia anderseni"
"1816","Dobsonia andersoni"
"1817","Dobsonia beauforti"
"1818","Dobsonia chapmani"
"1819","Dobsonia crenulata"
"1820","Dobsonia emersa"
"1821","Dobsonia exoleta"
"1822","Dobsonia inermis"
"1823","Dobsonia magna"
"1824","Dobsonia minor"
"1825","Dobsonia moluccensis"
"1826","Dobsonia pannietensis"
"1827","Dobsonia peronii"
"1828","Dobsonia praedatrix"
"1829","Dobsonia viridis"
"1830","Dolichopithecus ruscinensis"
"1831","Dolichotis salinicola"
"1832","Dologale dybowskii"
"1833","Dorcatragus megalotis"
"1834","Dorcopsis atrata"
"1835","Dorcopsis auranticus"
"1836","Dorcopsis hageni"
"1837","Dorcopsis luctuosa"
"1838","Dorcopsis muelleri"
"1839","Dorcopsis mysoliae"
"1840","Dorcopsis veterum"
"1841","Dorcopsulus macleayi"
"1842","Dorcopsulus rothschildi"
"1843","Dorcopsulus vanheurni"
"1844","Dremomys everetti"
"1845","Dremomys gularis"
"1846","Dremomys lokriah"
"1847","Dremomys pyrrhomerus"
"1848","Dromiciops gliroides"
"1849","Dryadonycteris capixaba"
"1850","Drymoreomys albimaculatus"
"1851","Dryomys laniger"
"1852","Dryomys niethammeri"
"1853","Dryopithecus brancoi"
"1854","Dryopithecus giganteus"
"1855","Dryopithecus indicus"
"1856","Dryopithecus vancouveringi"
"1857","Dugong dugon"
"1858","Dushimys larsi"
"1859","Dusicyon australis"
"1860","Dusicyon avus"
"1861","Dusicyon darwini"
"1862","Dusicyon gymnocercus"
"1863","Dusicyon proplatensis"
"1864","Dyacopterus brooksi"
"1865","Dyacopterus richarti"
"1866","Dyacopterus rickarti"
"1867","Dyacopterus rickartii"
"1868","Dyacopterus spadiceus"
"1869","Dymecodon pilirostris"
"1870","Echimys chrysurus"
"1871","Echimys saturnus"
"1872","Echinops telfairi"
"1873","Echinosorex gymnura"
"1874","Echiothrix centrosa"
"1875","Echiothrix leucura"
"1876","Echymipera clara"
"1877","Echymipera davidi"
"1878","Echymipera echinista"
"1879","Echymipera gargantua"
"1880","Echymipera kalabu"
"1881","Ectophylla alba"
"1882","Ectopocynus antiquus"
"1883","Ectopocynus intermedius"
"1884","Ectopocynus simplicidens"
"1885","Eidolon dupreanum"
"1886","Eidolon helvum"
"1887","Eira barbara"
"1888","Elaphodus cephalophus"
"1889","Elaphodus ichangensis"
"1890","Elaphodus michianus"
"1891","Elaphurus davidianus"
"1892","Elephantulus brachyrhynchus"
"1893","Elephantulus delicatus"
"1894","Elephantulus dundasi"
"1895","Elephantulus edwardii"
"1896","Elephantulus fuscipes"
"1897","Elephantulus fuscus"
"1898","Elephantulus intufi"
"1899","Elephantulus myurus"
"1900","Elephantulus ocularis"
"1901","Elephantulus renatus"
"1902","Elephantulus revoili"
"1903","Elephantulus rufescens"
"1904","Elephantulus rupestris"
"1905","Elephas armeniacus"
"1906","Elephas bombifrons"
"1907","Elephas celebensis"
"1908","Elephas namadicus"
"1909","Elephas zulu"
"1910","Eligmodontia bolsonensis"
"1911","Eligmodontia dunaris"
"1912","Eligmodontia hirtipes"
"1913","Eligmodontia moreni"
"1914","Eligmodontia morgani"
"1915","Eligmodontia puerulus"
"1916","Eligmodontia typus"
"1917","Eliomys melanurus"
"1918","Eliomys munbyanus"
"1919","Eliomys quercinus"
"1920","Eliurus antsingy"
"1921","Eliurus carletoni"
"1922","Eliurus danieli"
"1923","Eliurus ellermani"
"1924","Eliurus grandidieri"
"1925","Eliurus majori"
"1926","Eliurus minor"
"1927","Eliurus myoxinus"
"1928","Eliurus penicillatus"
"1929","Eliurus petteri"
"1930","Eliurus tanala"
"1931","Eliurus tsingimbato"
"1932","Eliurus webbi"
"1933","Ellobius alaicus"
"1934","Ellobius fuscocapillus"
"1935","Ellobius lutescens"
"1936","Ellobius pedorychus"
"1937","Ellobius talpinus"
"1938","Ellobius tancrei"
"1939","Emballonura alecto"
"1940","Emballonura atrata"
"1941","Emballonura beccarii"
"1942","Emballonura dianae"
"1943","Emballonura discolor"
"1944","Emballonura furax"
"1945","Emballonura monticola"
"1946","Emballonura nigrescens"
"1947","Emballonura raffrayana"
"1948","Emballonura serii"
"1949","Emballonura tiavato"
"1950","Enhydrocyon basilatus"
"1951","Enhydrocyon crassidens"
"1952","Enhydrocyon stenocephalus"
"1953","Eoglaucomys fimbriatus"
"1954","Eolagurus luteus"
"1955","Eolagurus przewalskii"
"1956","Eomannodon multituberculatus"
"1957","Eomysticetus whitmorei"
"1958","Eonycteris major"
"1959","Eonycteris robusta"
"1960","Eonycteris spelaea"
"1961","Eospalax rothschildi"
"1962","Eospalax rufescens"
"1963","Eospalax smithii"
"1964","Eothenomys cachinus"
"1965","Eothenomys chinensis"
"1966","Eothenomys colurnus"
"1967","Eothenomys eleusis"
"1968","Eothenomys eva"
"1969","Eothenomys imaizumii"
"1970","Eothenomys inez"
"1971","Eothenomys miletus"
"1972","Eothenomys olitor"
"1973","Eothenomys proditor"
"1974","Eothenomys smithii"
"1975","Eothenomys wardi"
"1976","Eotragus clavatus"
"1977","Eozapus setchuanus"
"1978","Epicyon aelurodontoides"
"1979","Episoriculus corsicanus"
"1980","Episoriculus fumidus"
"1981","Episoriculus leucops"
"1982","Episoriculus macrurus"
"1983","Episoriculus umbrinus"
"1984","Epixerus ebii"
"1985","Epixerus wilsoni"
"1986","Epomophorus angolensis"
"1987","Epomophorus anselli"
"1988","Epomophorus crypturus"
"1989","Epomophorus doriae"
"1990","Epomophorus gambianus"
"1991","Epomophorus grandis"
"1992","Epomophorus labiatus"
"1993","Epomophorus minimus"
"1994","Epomophorus minor"
"1995","Epomophorus neumanni"
"1996","Epomophorus stuhlmanni"
"1997","Epomophorus wahlbergi"
"1998","Epomophorus zechi"
"1999","Epomophorus zenkeri"
"2000","Epomops buettikoferi"
"2001","Epomops dobsonii"
"2002","Epomops franqueti"
"2003","Eptesicus andinus"
"2004","Eptesicus bobrinskoi"
"2005","Eptesicus brasiliensis"
"2006","Eptesicus chiriquinus"
"2007","Eptesicus diminutus"
"2008","Eptesicus dorianus"
"2009","Eptesicus floweri"
"2010","Eptesicus furinalis"
"2011","Eptesicus fuscus"
"2012","Eptesicus gobiensis"
"2013","Eptesicus guadeloupensis"
"2014","Eptesicus innoxius"
"2015","Eptesicus japonensis"
"2016","Eptesicus jubatus"
"2017","Eptesicus kobayashii"
"2018","Eptesicus macleayii"
"2019","Eptesicus nilssonii"
"2020","Eptesicus pachyotis"
"2021","Eptesicus platyops"
"2022","Eptesicus regulus"
"2023","Eptesicus sagittula"
"2024","Eptesicus taddeii"
"2025","Eptesicus tatei"
"2026","Eptesicus vulturnus"
"2027","Equus caballus"
"2028","Equus ferus"
"2029","Equus germanicus"
"2030","Equus grevyi"
"2031","Equus neogeus"
"2032","Equus oldowayensis"
"2033","Equus ovodovi"
"2034","Equus penrecei"
"2035","Equus phlegon"
"2036","Equus przewalskii"
"2037","Equus stenosis"
"2038","Equus taubachensis"
"2039","Eremodipus lichtensteini"
"2040","Eremoryzomys polius"
"2041","Erethizon dorsatum"
"2042","Erethizon dorsatus"
"2043","Erignathus barbatus"
"2044","Erinaceus amurensis"
"2045","Erinaceus calligoni"
"2046","Erinaceus danubicus"
"2047","Erinaceus davidi"
"2048","Erinaceus dealbatus"
"2049","Erinaceus ecaudatus"
"2050","Erinaceus europaeus"
"2051","Erinaceus fallax"
"2052","Erinaceus grayii"
"2053","Erinaceus hanensis"
"2054","Erinaceus hindei"
"2055","Erinaceus jerdoni"
"2056","Erinaceus kreyenbergi"
"2057","Erinaceus krugi"
"2058","Erinaceus macracanthus"
"2059","Erinaceus mentalis"
"2060","Erinaceus miodon"
"2061","Erinaceus nesiotes"
"2062","Erinaceus niger"
"2063","Erinaceus roumanicus"
"2064","Erinaceus sclateri"
"2065","Erinaceus sharonis"
"2066","Erinaceus sibiricus"
"2067","Erinaceus spatangus"
"2068","Erinaceus spiculus"
"2069","Erinaceus tschifuensis"
"2070","Eropeplus canus"
"2071","Erophylla bombifrons"
"2072","Erophylla sezekorni"
"2073","Erythrocebus albigenis"
"2074","Erythrocebus patas"
"2075","Erythrocebus poliophaeus"
"2076","Eschrichtius pusillus"
"2077","Eschrichtius robustus"
"2078","Eubalaena australis"
"2079","Eubalaena glacialis"
"2080","Eubalaena japonica"
"2081","Euchoreutes naso"
"2082","Euderma maculatum"
"2083","Eudiscoderma thongareeae"
"2084","Eudiscopus denticulus"
"2085","Eudorcas rufifrons"
"2086","Eudorcas rufina"
"2087","Eudorcas thomsonii"
"2088","Eulemur albifrons"
"2089","Eulemur cinereiceps"
"2090","Eulemur coronatus"
"2091","Eulemur flavifrons"
"2092","Eulemur mongoz"
"2093","Eulemur rubriventer"
"2094","Eulemur rufifrons"
"2095","Eulemur rufus"
"2096","Eulemur sanfordi"
"2097","Eumetopias elongatus"
"2098","Eumetopias jubatus"
"2099","Eumops auripendulus"
"2100","Eumops chimaera"
"2101","Eumops chiribaya"
"2102","Eumops dabbenei"
"2103","Eumops delticus"
"2104","Eumops ferox"
"2105","Eumops hansae"
"2106","Eumops maurus"
"2107","Eumops patagonicus"
"2108","Eumops perotis"
"2109","Eumops trumbulli"
"2110","Eumops underwoodi"
"2111","Eumops wilsoni"
"2112","Euneomys chinchilloides"
"2113","Euneomys fossor"
"2114","Euneomys mordax"
"2115","Euneomys petersoni"
"2116","Euoticus elegantulus"
"2117","Euoticus pallidus"
"2118","Eupetaurus cinereus"
"2119","Eupleres goudotii"
"2120","Euroscaptor grandis"
"2121","Euroscaptor klossi"
"2122","Euroscaptor kuznetsovi"
"2123","Euroscaptor longirostris"
"2124","Euroscaptor malayana"
"2125","Euroscaptor micrura"
"2126","Euroscaptor mizura"
"2127","Euroscaptor orlovi"
"2128","Euroscaptor parvidens"
"2129","Euroscaptor subanura"
"2130","Euryoryzomys emmonsae"
"2131","Euryoryzomys lamia"
"2132","Euryoryzomys legatus"
"2133","Euryoryzomys macconnelli"
"2134","Euryoryzomys nitidus"
"2135","Euryoryzomys russatus"
"2136","Euryzygomatomys spinosus"
"2137","Eutamias asiaticus"
"2138","Eutamias urialis"
"2139","Exilisciurus concinnus"
"2140","Exilisciurus exilis"
"2141","Exilisciurus whiteheadi"
"2142","Falsistrellus affinis"
"2143","Falsistrellus mackenziei"
"2144","Falsistrellus mordax"
"2145","Falsistrellus tasmaniensis"
"2146","Felis affinis"
"2147","Felis agrius"
"2148","Felis catus"
"2149","Felis chaus"
"2150","Felis haussa"
"2151","Felis herschelii"
"2152","Felis hyaenoides"
"2153","Felis javanensis"
"2154","Felis macrocelis"
"2155","Felis manchurica"
"2156","Felis margarita"
"2157","Felis moormensis"
"2158","Felis nepalensis"
"2159","Felis nigripes"
"2160","Felis ornata"
"2161","Felis pamiri"
"2162","Felis pardochrous"
"2163","Felis pardoides"
"2164","Felis prateri"
"2165","Felis pulchella"
"2166","Felis ricketti"
"2167","Felis rutilus"
"2168","Felis servalina"
"2169","Felis wagati"
"2170","Felovia vae"
"2171","Feresa attenuata"
"2172","Feroculus feroculus"
"2173","Fossa fossana"
"2174","Fossa majori"
"2175","Fukomys amatus"
"2176","Fukomys anselli"
"2177","Fukomys bocagei"
"2178","Fukomys choma"
"2179","Fukomys damarensis"
"2180","Fukomys darlingi"
"2181","Fukomys foxi"
"2182","Fukomys ilariae"
"2183","Fukomys kafuensis"
"2184","Fukomys mechowii"
"2185","Fukomys micklemi"
"2186","Fukomys ochraceocinereus"
"2187","Fukomys zechi"
"2188","Funambulus layardi"
"2189","Funambulus palmarum"
"2190","Funambulus pennantii"
"2191","Funambulus sublineatus"
"2192","Funambulus tristriatus"
"2193","Funisciurus anerythrus"
"2194","Funisciurus bayonii"
"2195","Funisciurus carruthersi"
"2196","Funisciurus congicus"
"2197","Funisciurus duchaillui"
"2198","Funisciurus isabella"
"2199","Funisciurus lemniscatus"
"2200","Funisciurus leucogenys"
"2201","Funisciurus pyrropus"
"2202","Funisciurus substriatus"
"2203","Furipterus caerulescens"
"2204","Furipterus coerulescens"
"2205","Furipterus horrens"
"2206","Galago alleni"
"2207","Galago braccatus"
"2208","Galago demidoffi"
"2209","Galago dunni"
"2210","Galago gabonensis"
"2211","Galago gallarum"
"2212","Galago granti"
"2213","Galagoides cocos"
"2214","Galagoides demidoffi"
"2215","Galagoides kumbirensis"
"2216","Galagoides orinus"
"2217","Galagoides rondoensis"
"2218","Galagoides thomasi"
"2219","Galagoides udzungwensis"
"2220","Galago matschiei"
"2221","Galago minor"
"2222","Galago moholi"
"2223","Galea flavidens"
"2224","Galea monasteriensis"
"2225","Galea spixii"
"2226","Galecynus latidens"
"2227","Galemys pyrenaicus"
"2228","Galenomys garleppi"
"2229","Galeopterus peninsulae"
"2230","Galeopterus variegates"
"2231","Galerella flavescens"
"2232","Galerella nigrata"
"2233","Galerella ochracea"
"2234","Galerella pulverulenta"
"2235","Galerella sanguinea"
"2236","Galictis cuja"
"2237","Galictis vittata"
"2238","Galidictis fasciata"
"2239","Galidictis grandidieri"
"2240","Galidictis ornatus"
"2241","Gardnerycteris crenulatum"
"2242","Gardnerycteris keenani"
"2243","Gardnerycteris koepckeae"
"2244","Gazella albonotata"
"2245","Gazella arabica"
"2246","Gazella bennettii"
"2247","Gazella christyi"
"2248","Gazella cuvieri"
"2249","Gazella deperdita"
"2250","Gazella erlangeri"
"2251","Gazella isabella"
"2252","Gazella leptoceros"
"2253","Gazella littoralis"
"2254","Gazella loderi"
"2255","Gazella lydekkeri"
"2256","Gazella merrilli"
"2257","Gazella muscatensis"
"2258","Gazella saudiya"
"2259","Gazella spekei"
"2260","Gazella walleri"
"2261","Gazella yarkendensis"
"2262","Genetta abyssinica"
"2263","Genetta amer"
"2264","Genetta angolensis"
"2265","Genetta bettoni"
"2266","Genetta bini"
"2267","Genetta bourloni"
"2268","Genetta cristata"
"2269","Genetta felina"
"2270","Genetta genetta"
"2271","Genetta grantii"
"2272","Genetta johnstoni"
"2273","Genetta letabae"
"2274","Genetta ludia"
"2275","Genetta maculata"
"2276","Genetta pardina"
"2277","Genetta poensis"
"2278","Genetta servalina"
"2279","Genetta thierryi"
"2280","Genetta tigrina"
"2281","Genetta victoriae"
"2282","Geocapromys brownii"
"2283","Geocapromys ingrahami"
"2284","Geocapromys thoracatus"
"2285","Geogale aurita"
"2286","Geomys arenarius"
"2287","Geomys attwateri"
"2288","Geomys cherriei"
"2289","Geomys knoxjonesi"
"2290","Geomys streckeri"
"2291","Geomys tropicalis"
"2292","Georychus capensis"
"2293","Geoxus lafkenche"
"2294","Geoxus valdivianus"
"2295","Gerbilliscus afra"
"2296","Gerbilliscus boehmi"
"2297","Gerbilliscus brantsii"
"2298","Gerbilliscus gambianus"
"2299","Gerbilliscus guineae"
"2300","Gerbilliscus inclusus"
"2301","Gerbilliscus kempi"
"2302","Gerbilliscus leucogaster"
"2303","Gerbilliscus nigricaudus"
"2304","Gerbilliscus phillipsi"
"2305","Gerbilliscus robustus"
"2306","Gerbilliscus validus"
"2307","Gerbilliscus vicinus"
"2308","Gerbillurus paeba"
"2309","Gerbillurus setzeri"
"2310","Gerbillurus tytonis"
"2311","Gerbillurus vallinus"
"2312","Gerbillus acticola"
"2313","Gerbillus agag"
"2314","Gerbillus amoenus"
"2315","Gerbillus aquilus"
"2316","Gerbillus brockmani"
"2317","Gerbillus burtoni"
"2318","Gerbillus cheesmani"
"2319","Gerbillus dongolanus"
"2320","Gerbillus dunni"
"2321","Gerbillus famulus"
"2322","Gerbillus floweri"
"2323","Gerbillus garamantis"
"2324","Gerbillus gerbillus"
"2325","Gerbillus gleadowi"
"2326","Gerbillus grobbeni"
"2327","Gerbillus henleyi"
"2328","Gerbillus hesperinus"
"2329","Gerbillus hoogstraali"
"2330","Gerbillus hoogstrali"
"2331","Gerbillus latastei"
"2332","Gerbillus mariae"
"2333","Gerbillus mauritaniae"
"2334","Gerbillus mesopotamiae"
"2335","Gerbillus muriculus"
"2336","Gerbillus nancillus"
"2337","Gerbillus nanus"
"2338","Gerbillus nigeriae"
"2339","Gerbillus occiduus"
"2340","Gerbillus perpallidus"
"2341","Gerbillus poecilops"
"2342","Gerbillus principulus"
"2343","Gerbillus pulvinatus"
"2344","Gerbillus pusillus"
"2345","Gerbillus rosalinda"
"2346","Gerbillus syrticus"
"2347","Gerbillus tarabuli"
"2348","Gerbillus vivax"
"2349","Gerbillus watersi"
"2350","Giraffa reticulata"
"2351","Giraffa tippelskirchi"
"2352","Glaucomys oregonensis"
"2353","Glauconycteris alboguttata"
"2354","Glauconycteris argentata"
"2355","Glauconycteris atra"
"2356","Glauconycteris beatrix"
"2357","Glauconycteris curryae"
"2358","Glauconycteris egeria"
"2359","Glauconycteris gleni"
"2360","Glauconycteris humeralis"
"2361","Glauconycteris kenyacola"
"2362","Glauconycteris machadoi"
"2363","Glauconycteris poensis"
"2364","Glauconycteris superba"
"2365","Glauconycteris variegata"
"2366","Glironia venusta"
"2367","Glirulus japonicus"
"2368","Glischropus aquilus"
"2369","Glischropus bucelaphus"
"2370","Glischropus bucephalus"
"2371","Glischropus javanus"
"2372","Glischropus tylopus"
"2373","Glis glis"
"2374","Glis obtusangulus"
"2375","Globicephala macrorhynchus"
"2376","Globicephala melas"
"2377","Glossophaga commissarisi"
"2378","Glossophaga leachii"
"2379","Glossophaga longirostris"
"2380","Glossophaga morenoi"
"2381","Glossophaga soricina"
"2382","Glyphonycteris behnii"
"2383","Glyphonycteris daviesi"
"2384","Glyphonycteris sylvestris"
"2385","Glyphotes simus"
"2386","Golunda ellioti"
"2387","Gracilinanus aceramarcae"
"2388","Gracilinanus agilis"
"2389","Gracilinanus dryas"
"2390","Gracilinanus emiliae"
"2391","Gracilinanus formosus"
"2392","Gracilinanus ignitus"
"2393","Gracilinanus longicaudus"
"2394","Gracilinanus marica"
"2395","Gracilinanus microtarsus"
"2396","Gracilinanus peruanus"
"2397","Graecopithecus freybergi"
"2398","Grammomys aridulus"
"2399","Grammomys buntingi"
"2400","Grammomys caniceps"
"2401","Grammomys cometes"
"2402","Grammomys dolichurus"
"2403","Grammomys gazellae"
"2404","Grammomys gigas"
"2405","Grammomys ibeanus"
"2406","Grammomys kuru"
"2407","Grammomys macmillani"
"2408","Grammomys minnae"
"2409","Grammomys ochraceus"
"2410","Grammomys poensis"
"2411","Grammomys surdaster"
"2412","Grampus griseus"
"2413","Graomys centralis"
"2414","Graomys chacoensis"
"2415","Graomys domorum"
"2416","Graomys edithae"
"2417","Graomys griseoflavus"
"2418","Graphiurus angolensis"
"2419","Graphiurus christyi"
"2420","Graphiurus crassicaudatus"
"2421","Graphiurus johnstoni"
"2422","Graphiurus kelleni"
"2423","Graphiurus lorraineus"
"2424","Graphiurus microtis"
"2425","Graphiurus monardi"
"2426","Graphiurus murinus"
"2427","Graphiurus nagtglasii"
"2428","Graphiurus ocularis"
"2429","Graphiurus platyops"
"2430","Graphiurus playtops"
"2431","Graphiurus rupicola"
"2432","Graphiurus surdus"
"2433","Graphiurus walterverheyeni"
"2434","Gricetoides aurorae"
"2435","Gulo gulo"
"2436","Gulo nagelii"
"2437","Gyldenstolpia planaltensis"
"2438","Gymnobelideus leadbeateri"
"2439","Gymnuromys roberti"
"2440","Habromys chinanteco"
"2441","Habromys delicatulus"
"2442","Habromys ixtlani"
"2443","Habromys lepturus"
"2444","Habromys lophurus"
"2445","Habromys schmidlyi"
"2446","Habromys simulatus"
"2447","Hadromys humei"
"2448","Hadromys yunnanensis"
"2449","Hadropithecus stenognathus"
"2450","Haeromys margarettae"
"2451","Haeromys minahassae"
"2452","Halmaheramys bokimekot"
"2453","Halmaheramys wallacei"
"2454","Handleyomys alfaroi"
"2455","Handleyomys chapmani"
"2456","Handleyomys fuscatus"
"2457","Handleyomys guerrerensis"
"2458","Handleyomys intectus"
"2459","Handleyomys melanotis"
"2460","Handleyomys rhabdops"
"2461","Handleyomys rostratus"
"2462","Handleyomys saturatior"
"2463","Hapalemur alaotrensis"
"2464","Hapalemur aureus"
"2465","Hapalemur occidentalis"
"2466","Hapalomys delacouri"
"2467","Hapalomys longicaudatus"
"2468","Haplonycteris fischeri"
"2469","Haringtonhippus francisci"
"2470","Harpiocephalus harpia"
"2471","Harpiocephalus hilgendorfi"
"2472","Harpiocephalus mordax"
"2473","Harpiola grisea"
"2474","Harpiola isodon"
"2475","Harpyionycteris celebensis"
"2476","Harpyionycteris whiteheadi"
"2477","Heimyscus fumosus"
"2478","Helarctos malayanus"
"2479","Heliophobius emini"
"2480","Heliophobius spalax"
"2481","Heliosciurus gambianus"
"2482","Heliosciurus multicolor"
"2483","Heliosciurus mutabilis"
"2484","Heliosciurus punctatus"
"2485","Heliosciurus rufobrachium"
"2486","Heliosciurus ruwenzorii"
"2487","Heliosciurus undulatus"
"2488","Helladotherium gaudryi"
"2489","Helladotherium olduvaiensis"
"2490","Helogale atkinsoni"
"2491","Helogale brunetta"
"2492","Helogale brunnula"
"2493","Helogale hirtula"
"2494","Helogale ivori"
"2495","Helogale macmillani"
"2496","Helogale mimetra"
"2497","Helogale parvula"
"2498","Helogale percivali"
"2499","Helogale varia"
"2500","Helogale vetula"
"2501","Helogale victorina"
"2502","Hemibelideus lemuroides"
"2503","Hemicentetes nigriceps"
"2504","Hemicentetes semispinosus"
"2505","Hemiechinus collaris"
"2506","Hemigalus derbyanus"
"2507","Hemitragus hylocrius"
"2508","Herpestes apiculatus"
"2509","Herpestes badius"
"2510","Herpestes cauui"
"2511","Herpestes edwardsi"
"2512","Herpestes flavidens"
"2513","Herpestes fuscus"
"2514","Herpestes griseus"
"2515","Herpestes ichneumon"
"2516","Herpestes naso"
"2517","Herpestes nepalensis"
"2518","Herpestes nigripes"
"2519","Herpestes punctulatus"
"2520","Herpestes rutilus"
"2521","Herpestes semitorquatus"
"2522","Herpestes smithii"
"2523","Herpestes urva"
"2524","Herpestes vitticollis"
"2525","Herpestes widdringtoni"
"2526","Hesperocyon coloradensis"
"2527","Hesperocyon wilsoni"
"2528","Hesperoptenus blanfordi"
"2529","Hesperoptenus doriae"
"2530","Hesperoptenus gaskelli"
"2531","Hesperoptenus tickelli"
"2532","Hesperoptenus tomesi"
"2533","Heterocephalus glaber"
"2534","Heterohyrax blainvillii"
"2535","Heterohyrax chapini"
"2536","Heteromys anomalus"
"2537","Heteromys australis"
"2538","Heteromys catopterius"
"2539","Heteromys gaumeri"
"2540","Heteromys goldmani"
"2541","Heteromys lepturus"
"2542","Heteromys nelsoni"
"2543","Heteromys nubicolens"
"2544","Heteromys oasicus"
"2545","Heteromys oresterus"
"2546","Heteromys teleus"
"2547","Heteropsomys antillensis"
"2548","Heteropsomys insulans"
"2549","Hexaprotodon liberiensis"
"2550","Hexaprotodon madagascariensis"
"2551","Hippocamelus antisensis"
"2552","Hippocamelus bisulcus"
"2553","Hippopotamus antiquus"
"2554","Hippopotamus laloumena"
"2555","Hippopotamus lemerlei"
"2556","Hippopotamus ponderosus"
"2557","Hipposideros abae"
"2558","Hipposideros armiger"
"2559","Hipposideros atrox"
"2560","Hipposideros beatus"
"2561","Hipposideros bicolor"
"2562","Hipposideros boeadii"
"2563","Hipposideros breviceps"
"2564","Hipposideros calcaratus"
"2565","Hipposideros camerunensis"
"2566","Hipposideros cervinus"
"2567","Hipposideros cineraceus"
"2568","Hipposideros commersoni"
"2569","Hipposideros commersonii"
"2570","Hipposideros coronatus"
"2571","Hipposideros corynophyllus"
"2572","Hipposideros coxi"
"2573","Hipposideros crumeniferus"
"2574","Hipposideros curtus"
"2575","Hipposideros cyclops"
"2576","Hipposideros demissus"
"2577","Hipposideros dinops"
"2578","Hipposideros doriae"
"2579","Hipposideros durgadasi"
"2580","Hipposideros dyacorum"
"2581","Hipposideros edwardshilli"
"2582","Hipposideros einnaythu"
"2583","Hipposideros fuliginosus"
"2584","Hipposideros fulvus"
"2585","Hipposideros galeritus"
"2586","Hipposideros gigas"
"2587","Hipposideros grandis"
"2588","Hipposideros griffini"
"2589","Hipposideros halophyllus"
"2590","Hipposideros hypophyllus"
"2591","Hipposideros indus"
"2592","Hipposideros inexpectatus"
"2593","Hipposideros inornatus"
"2594","Hipposideros jonesi"
"2595","Hipposideros khaokhouayensis"
"2596","Hipposideros khasiana"
"2597","Hipposideros kunzi"
"2598","Hipposideros lamottei"
"2599","Hipposideros lankadiva"
"2600","Hipposideros larvatus"
"2601","Hipposideros lekaguli"
"2602","Hipposideros lylei"
"2603","Hipposideros macrobullatus"
"2604","Hipposideros madurae"
"2605","Hipposideros maggietaylorae"
"2606","Hipposideros marisae"
"2607","Hipposideros megalotis"
"2608","Hipposideros muscinus"
"2609","Hipposideros nequam"
"2610","Hipposideros nicobarulae"
"2611","Hipposideros obscurus"
"2612","Hipposideros orbiculus"
"2613","Hipposideros papua"
"2614","Hipposideros pelingensis"
"2615","Hipposideros pratti"
"2616","Hipposideros pygmaeus"
"2617","Hipposideros ridleyi"
"2618","Hipposideros rotalis"
"2619","Hipposideros ruber"
"2620","Hipposideros scutinares"
"2621","Hipposideros semoni"
"2622","Hipposideros sorenseni"
"2623","Hipposideros speoris"
"2624","Hipposideros speouis"
"2625","Hipposideros stenotis"
"2626","Hipposideros sumbae"
"2627","Hipposideros templetonii"
"2628","Hipposideros terasensis"
"2629","Hipposideros thomensis"
"2630","Hipposideros vittatus"
"2631","Hipposideros wollastoni"
"2632","Hippotragus leucophaeus"
"2633","Hippotragus niro"
"2634","Histiotus alienus"
"2635","Histiotus diaphanopterus"
"2636","Histiotus humboldti"
"2637","Histiotus laephotis"
"2638","Histiotus macrotus"
"2639","Histiotus magellanicus"
"2640","Histiotus montanus"
"2641","Histiotus velatus"
"2642","Hodomys alleni"
"2643","Holochilus brasiliensis"
"2644","Holochilus chacarius"
"2645","Holochilus lagigliai"
"2646","Holochilus sciureus"
