"","scientificName","redlistCategory"
"1124","Crocidura nimbae","Near Threatened"
"1125","Crocidura nimbasilvanus","Least Concern"
"1126","Crocidura ninoyi","Data Deficient"
"1127","Crocidura niobe","Least Concern"
"1128","Crocidura obscurior","Least Concern"
"1129","Crocidura olivieri","Not Applicable"
"1130","Crocidura olivieri","Least Concern"
"1131","Crocidura orientalis","Least Concern"
"1132","Crocidura orii","Endangered"
"1133","Crocidura pachyura","Data Deficient"
"1134","Crocidura pachyura","Least Concern"
"1135","Crocidura palawanensis","Least Concern"
"1136","Crocidura panayensis","Data Deficient"
"1137","Crocidura paradoxura","Least Concern"
"1138","Crocidura parvipes","Least Concern"
"1139","Crocidura pasha","Not Applicable"
"1140","Crocidura pasha","Least Concern"
"1141","Crocidura pergrisea","Data Deficient"
"1142","Crocidura phaeura","Endangered"
"1143","Crocidura phanluongi","Least Concern"
"1144","Crocidura phuquocensis","Data Deficient"
"1145","Crocidura picea","Endangered"
"1146","Crocidura pitmani","Data Deficient"
"1147","Crocidura planiceps","Data Deficient"
"1148","Crocidura poensis","Least Concern"
"1149","Crocidura polia","Data Deficient"
"1150","Crocidura pullata","Data Deficient"
"1151","Crocidura raineyi","Data Deficient"
"1152","Crocidura ramona","Least Concern"
"1153","Crocidura rapax","Data Deficient"
"1154","Crocidura religiosa","Data Deficient"
"1155","Crocidura rhoditis","Least Concern"
"1156","Crocidura roosevelti","Least Concern"
"1157","Crocidura russula","Least Concern"
"1158","Crocidura russula","Least Concern"
"1159","Crocidura russula","Least Concern"
"1160","Crocidura sapaensis","Data Deficient"
"1161","Crocidura selina","Data Deficient"
"1162","Crocidura serezkyensis","Least Concern"
"1163","Crocidura shantungensis","Least Concern"
"1164","Crocidura sibirica","Least Concern"
"1165","Crocidura sicula","Least Concern"
"1166","Crocidura silacea","Least Concern"
"1167","Crocidura smithii","Least Concern"
"1168","Crocidura sokolovi","Data Deficient"
"1169","Crocidura somalica","Least Concern"
"1170","Crocidura stenocephala","Endangered"
"1171","Crocidura suaveolens","Least Concern"
"1172","Crocidura suaveolens","Least Concern"
"1173","Crocidura suaveolens","Least Concern"
"1174","Crocidura susiana","Data Deficient"
"1175","Crocidura tanakae","Least Concern"
"1176","Crocidura tansaniana","Near Threatened"
"1177","Crocidura tarella","Endangered"
"1178","Crocidura tarfayensis","Data Deficient"
"1179","Crocidura tarfayensis","Data Deficient"
"1180","Crocidura telfordi","Vulnerable"
"1181","Crocidura tenuis","Data Deficient"
"1182","Crocidura thalia","Least Concern"
"1183","Crocidura theresae","Least Concern"
"1184","Crocidura thomensis","Endangered"
"1185","Crocidura trichura","Critically Endangered"
"1186","Crocidura turba","Least Concern"
"1187","Crocidura ultima","Data Deficient"
"1188","Crocidura umbra","Near Threatened"
"1189","Crocidura usambarae","Vulnerable"
"1190","Crocidura viaria","Not Applicable"
"1191","Crocidura viaria","Least Concern"
"1192","Crocidura virgata","Least Concern"
"1193","Crocidura voi","Least Concern"
"1194","Crocidura vorax","Least Concern"
"1195","Crocidura vosmaeri","Data Deficient"
"1196","Crocidura watasei","Least Concern"
"1197","Crocidura whitakeri","Least Concern"
"1198","Crocidura wimmeri","Critically Endangered"
"1199","Crocidura wuchihensis","Data Deficient"
"1200","Crocidura xantippe","Least Concern"
"1201","Crocidura yaldeni","Data Deficient"
"1202","Crocidura yankariensis","Least Concern"
"1203","Crocidura zaitsevi","Data Deficient"
"1204","Crocidura zaphiri","Data Deficient"
"1205","Crocidura zarudnyi","Least Concern"
"1206","Crocidura zimmeri","Data Deficient"
"1207","Crocidura zimmermanni","Endangered"
"1208","Crocuta crocuta","Least Concern"
"1209","Crossarchus alexandri","Least Concern"
"1210","Crossarchus ansorgei","Least Concern"
"1211","Crossarchus obscurus","Least Concern"
"1212","Crossarchus platycephalus","Least Concern"
"1213","Crossomys moncktoni","Least Concern"
"1214","Crunomys celebensis","Data Deficient"
"1215","Crunomys fallax","Data Deficient"
"1216","Crunomys melanius","Least Concern"
"1217","Crunomys suncoides","Data Deficient"
"1218","Cryptochloris wintoni","Critically Endangered"
"1219","Cryptochloris zyli","Endangered"
"1220","Cryptomys hottentotus","Least Concern"
"1221","Cryptomys mahali","Data Deficient"
"1222","Cryptomys natalensis","Least Concern"
"1223","Cryptomys pretoriae","Least Concern"
"1224","Cryptonanus agricolai","Data Deficient"
"1225","Cryptonanus chacoensis","Least Concern"
"1226","Cryptonanus guahybae","Data Deficient"
"1227","Cryptonanus ignitus","Extinct"
"1228","Cryptonanus unduaviensis","Data Deficient"
"1229","Cryptoprocta ferox","Vulnerable"
"1230","Cryptoprocta spelea","Extinct"
"1231","Cryptotis alticola","Data Deficient"
"1232","Cryptotis aroensis","Endangered"
"1233","Cryptotis brachyonyx","Data Deficient"
"1234","Cryptotis cavatorculus","Data Deficient"
"1235","Cryptotis celaque","Data Deficient"
"1236","Cryptotis colombiana","Least Concern"
"1237","Cryptotis dinirensis","Data Deficient"
"1238","Cryptotis endersi","Endangered"
"1239","Cryptotis equatoris","Least Concern"
"1240","Cryptotis goldmani","Least Concern"
"1241","Cryptotis goodwini","Least Concern"
"1242","Cryptotis gracilis","Least Concern"
"1243","Cryptotis griseoventris","Endangered"
"1244","Cryptotis hondurensis","Data Deficient"
"1245","Cryptotis lacertosus","Data Deficient"
"1246","Cryptotis magna","Vulnerable"
"1247","Cryptotis mam","Data Deficient"
"1248","Cryptotis mayensis","Least Concern"
"1249","Cryptotis mccarthyi","Data Deficient"
"1250","Cryptotis medellinia","Least Concern"
"1251","Cryptotis meridensis","Vulnerable"
"1252","Cryptotis merriami","Least Concern"
"1253","Cryptotis merus","Endangered"
"1254","Cryptotis mexicana","Least Concern"
"1255","Cryptotis montivaga","Least Concern"
"1256","Cryptotis nelsoni","Critically Endangered"
"1257","Cryptotis niausa","Data Deficient"
"1258","Cryptotis nigrescens","Least Concern"
"1259","Cryptotis obscura","Least Concern"
"1260","Cryptotis oreoryctes","Data Deficient"
"1261","Cryptotis orophila","Data Deficient"
"1262","Cryptotis parva","Least Concern"
"1263","Cryptotis peregrina","Data Deficient"
"1264","Cryptotis perijensis","Data Deficient"
"1265","Cryptotis peruviensis","Data Deficient"
"1266","Cryptotis phillipsii","Vulnerable"
"1267","Cryptotis squamipes","Least Concern"
"1268","Cryptotis tamensis","Least Concern"
"1269","Cryptotis thomasi","Least Concern"
"1270","Cryptotis tropicalis","Data Deficient"
"1271","Cryptotis venezuelensis","Data Deficient"
"1272","Ctenodactylus gundi","Least Concern"
"1273","Ctenodactylus vali","Data Deficient"
"1274","Ctenomys argentinus","Near Threatened"
"1275","Ctenomys australis","Endangered"
"1276","Ctenomys azarae","Endangered"
"1277","Ctenomys bergi","Endangered"
"1278","Ctenomys boliviensis","Least Concern"
"1279","Ctenomys bonettoi","Endangered"
"1280","Ctenomys brasiliensis","Data Deficient"
"1281","Ctenomys colburni","Data Deficient"
"1282","Ctenomys coludo","Data Deficient"
"1283","Ctenomys conoveri","Least Concern"
"1284","Ctenomys coyhaiquensis","Data Deficient"
"1285","Ctenomys dorbignyi","Near Threatened"
"1286","Ctenomys dorsalis","Data Deficient"
"1287","Ctenomys emilianus","Least Concern"
"1288","Ctenomys famosus","Data Deficient"
"1289","Ctenomys flamarioni","Endangered"
"1290","Ctenomys fochi","Data Deficient"
"1291","Ctenomys fodax","Data Deficient"
"1292","Ctenomys frater","Least Concern"
"1293","Ctenomys fulvus","Data Deficient"
"1294","Ctenomys goodfellowi","Least Concern"
"1295","Ctenomys haigi","Least Concern"
"1296","Ctenomys ibicuiensis","Data Deficient"
"1297","Ctenomys johannis","Data Deficient"
"1298","Ctenomys juris","Data Deficient"
"1299","Ctenomys knighti","Data Deficient"
"1300","Ctenomys lami","Vulnerable"
"1301","Ctenomys latro","Endangered"
"1302","Ctenomys leucodon","Least Concern"
"1303","Ctenomys lewisi","Least Concern"
"1304","Ctenomys magellanicus","Least Concern"
"1305","Ctenomys maulinus","Least Concern"
"1306","Ctenomys mendocinus","Least Concern"
"1307","Ctenomys minutus","Data Deficient"
"1308","Ctenomys occultus","Endangered"
"1309","Ctenomys opimus","Least Concern"
"1310","Ctenomys osvaldoreigi","Critically Endangered"
"1311","Ctenomys pearsoni","Near Threatened"
"1312","Ctenomys perrensi","Least Concern"
"1313","Ctenomys peruanus","Least Concern"
"1314","Ctenomys pilarensis","Endangered"
"1315","Ctenomys pontifex","Data Deficient"
"1316","Ctenomys porteousi","Near Threatened"
"1317","Ctenomys pundti","Endangered"
"1318","Ctenomys rionegrensis","Endangered"
"1319","Ctenomys roigi","Critically Endangered"
"1320","Ctenomys saltarius","Data Deficient"
"1321","Ctenomys scagliai","Data Deficient"
"1322","Ctenomys sericeus","Data Deficient"
"1323","Ctenomys sociabilis","Critically Endangered"
"1324","Ctenomys steinbachi","Least Concern"
"1325","Ctenomys talarum","Least Concern"
"1326","Ctenomys torquatus","Least Concern"
"1327","Ctenomys tuconax","Data Deficient"
"1328","Ctenomys tucumanus","Data Deficient"
"1329","Ctenomys tulduco","Data Deficient"
"1330","Ctenomys validus","Data Deficient"
"1331","Ctenomys viperinus","Data Deficient"
"1332","Ctenomys yolandae","Data Deficient"
"1333","Cuniculus paca","Least Concern"
"1334","Cuniculus taczanowskii","Near Threatened"
"1335","Cuon alpinus","Endangered"
"1336","Cuscomys ashaninka","Data Deficient"
"1337","Cuscomys oblativa","Data Deficient"
"1338","Cyclopes didactylus","Least Concern"
"1339","Cynictis penicillata","Least Concern"
"1340","Cynocephalus volans","Least Concern"
"1341","Cynogale bennettii","Endangered"
"1342","Cynomops abrasus","Data Deficient"
"1343","Cynomops greenhalli","Least Concern"
"1344","Cynomops mexicanus","Least Concern"
"1345","Cynomops milleri","Least Concern"
"1346","Cynomops paranus","Data Deficient"
"1347","Cynomops planirostris","Least Concern"
"1348","Cynomys gunnisoni","Least Concern"
"1349","Cynomys leucurus","Least Concern"
"1350","Cynomys ludovicianus","Least Concern"
"1351","Cynomys mexicanus","Endangered"
"1352","Cynomys parvidens","Endangered"
"1353","Cynopterus brachyotis","Least Concern"
"1354","Cynopterus horsfieldii","Least Concern"
"1355","Cynopterus luzoniensis","Least Concern"
"1356","Cynopterus minutus","Least Concern"
"1357","Cynopterus nusatenggara","Least Concern"
"1358","Cynopterus sphinx","Least Concern"
"1359","Cynopterus titthaecheilus","Least Concern"
"1360","Cystophora cristata","Not Applicable"
"1361","Cystophora cristata","Vulnerable"
"1362","Cyttarops alecto","Least Concern"
"1363","Dacnomys millardi","Data Deficient"
"1364","Dactylomys boliviensis","Least Concern"
"1365","Dactylomys dactylinus","Least Concern"
"1366","Dactylomys peruanus","Data Deficient"
"1367","Dactylonax palpator","Least Concern"
"1368","Dactylopsila megalura","Least Concern"
"1369","Dactylopsila tatei","Endangered"
"1370","Dactylopsila trivirgata","Least Concern"
"1371","Dama dama","Least Concern"
"1372","Dama dama","Least Concern"
"1373","Damaliscus lunatus","Least Concern"
"1374","Damaliscus pygargus","Least Concern"
"1375","Dama mesopotamica","Regionally Extinct"
"1376","Dama mesopotamica","Endangered"
"1377","Dasycercus blythi","Least Concern"
"1378","Dasycercus cristicauda","Near Threatened"
"1379","Dasykaluta rosamondae","Least Concern"
"1380","Dasymys foxi","Data Deficient"
"1381","Dasymys incomtus","Least Concern"
"1382","Dasymys montanus","Endangered"
"1383","Dasymys nudipes","Data Deficient"
"1384","Dasymys rufulus","Least Concern"
"1385","Dasyprocta azarae","Data Deficient"
"1386","Dasyprocta coibae","Near Threatened"
"1387","Dasyprocta croconota","Data Deficient"
"1388","Dasyprocta fuliginosa","Least Concern"
"1389","Dasyprocta guamara","Near Threatened"
"1390","Dasyprocta iacki","Data Deficient"
"1391","Dasyprocta kalinowskii","Data Deficient"
"1392","Dasyprocta leporina","Least Concern"
"1393","Dasyprocta mexicana","Critically Endangered"
"1394","Dasyprocta prymnolopha","Least Concern"
"1395","Dasyprocta punctata","Least Concern"
"1396","Dasyprocta ruatanica","Endangered"
"1397","Dasyprocta variegata","Data Deficient"
"1398","Dasypus hybridus","Near Threatened"
"1399","Dasypus kappleri","Least Concern"
"1400","Dasypus novemcinctus","Least Concern"
"1401","Dasypus pilosus","Data Deficient"
"1402","Dasypus sabanicola","Near Threatened"
"1403","Dasypus septemcinctus","Least Concern"
"1404","Dasypus yepesi","Data Deficient"
"1405","Dasyuroides byrnei","Vulnerable"
"1406","Dasyurus albopunctatus","Near Threatened"
"1407","Dasyurus geoffroii","Near Threatened"
"1408","Dasyurus hallucatus","Endangered"
"1409","Dasyurus maculatus","Near Threatened"
"1410","Dasyurus spartacus","Near Threatened"
"1411","Dasyurus viverrinus","Endangered"
"1412","Daubentonia madagascariensis","Endangered"
"1413","Delanymys brooksi","Vulnerable"
"1414","Delomys collinus","Least Concern"
"1415","Delomys dorsalis","Least Concern"
"1416","Delomys sublineatus","Least Concern"
"1417","Delphinapterus leucas","Not Applicable"
"1418","Delphinapterus leucas","Least Concern"
"1419","Delphinus capensis","Data Deficient"
"1420","Delphinus delphis","Data Deficient"
"1421","Delphinus delphis","Least Concern"
"1422","Delphinus delphis","Endangered"
"1423","Deltamys kempi","Least Concern"
"1424","Dendrogale melanura","Data Deficient"
"1425","Dendrogale murina","Least Concern"
"1426","Dendrohyrax arboreus","Least Concern"
"1427","Dendrohyrax dorsalis","Least Concern"
"1428","Dendrohyrax validus","Near Threatened"
"1429","Dendrolagus bennettianus","Near Threatened"
"1430","Dendrolagus dorianus","Vulnerable"
"1431","Dendrolagus goodfellowi","Endangered"
"1432","Dendrolagus inustus","Vulnerable"
"1433","Dendrolagus lumholtzi","Near Threatened"
"1434","Dendrolagus matschiei","Endangered"
"1435","Dendrolagus mayri","Critically Endangered"
"1436","Dendrolagus mbaiso","Endangered"
"1437","Dendrolagus notatus","Endangered"
"1438","Dendrolagus pulcherrimus","Critically Endangered"
"1439","Dendrolagus scottae","Critically Endangered"
"1440","Dendrolagus spadix","Vulnerable"
"1441","Dendrolagus stellarum","Vulnerable"
"1442","Dendrolagus ursinus","Vulnerable"
"1443","Dendromus insignis","Least Concern"
"1444","Dendromus kahuziensis","Critically Endangered"
"1445","Dendromus kivu","Least Concern"
"1446","Dendromus lachaisei","Data Deficient"
"1447","Dendromus lovati","Least Concern"
"1448","Dendromus melanotis","Least Concern"
"1449","Dendromus mesomelas","Least Concern"
"1450","Dendromus messorius","Least Concern"
"1451","Dendromus mystacalis","Least Concern"
"1452","Dendromus nyikae","Least Concern"
"1453","Dendromus oreas","Least Concern"
"1454","Dendromus ruppi","Data Deficient"
"1455","Dendromus vernayi","Data Deficient"
"1456","Dendroprionomys rousseloti","Data Deficient"
"1457","Deomys ferrugineus","Least Concern"
"1458","Dephomys defua","Least Concern"
"1459","Dermanura anderseni","Least Concern"
"1460","Dermanura azteca","Least Concern"
"1461","Dermanura bogotensis","Least Concern"
"1462","Dermanura cinerea","Least Concern"
"1463","Dermanura glauca","Least Concern"
"1464","Dermanura gnoma","Least Concern"
"1465","Dermanura phaeotis","Least Concern"
"1466","Dermanura rava","Least Concern"
"1467","Dermanura rosenbergi","Data Deficient"
"1468","Dermanura tolteca","Least Concern"
"1469","Dermanura watsoni","Least Concern"
"1470","Desmalopex leucopterus","Vulnerable"
"1471","Desmalopex microleucopterus","Endangered"
"1472","Desmana moschata","Vulnerable"
"1473","Desmana moschata","Endangered"
"1474","Desmodilliscus braueri","Least Concern"
"1475","Desmodillus auricularis","Least Concern"
"1476","Desmodus rotundus","Least Concern"
"1477","Desmomys harringtoni","Least Concern"
"1478","Desmomys yaldeni","Vulnerable"
"1479","Diaemus youngi","Least Concern"
"1480","Dicerorhinus sumatrensis","Critically Endangered"
"1481","Diceros bicornis","Critically Endangered"
"1482","Diclidurus albus","Least Concern"
"1483","Diclidurus ingens","Data Deficient"
"1484","Diclidurus isabella","Least Concern"
"1485","Diclidurus scutatus","Least Concern"
"1486","Dicrostonyx groenlandicus","Least Concern"
"1487","Dicrostonyx hudsonius","Least Concern"
"1488","Dicrostonyx nelsoni","Least Concern"
"1489","Dicrostonyx nunatakensis","Least Concern"
"1490","Dicrostonyx richardsoni","Least Concern"
"1491","Dicrostonyx torquatus","Least Concern"
"1492","Dicrostonyx torquatus","Least Concern"
"1493","Dicrostonyx unalascensis","Data Deficient"
"1494","Dicrostonyx vinogradovi","Data Deficient"
"1495","Didelphis albiventris","Least Concern"
"1496","Didelphis aurita","Least Concern"
"1497","Didelphis imperfecta","Least Concern"
"1498","Didelphis marsupialis","Least Concern"
"1499","Didelphis pernigra","Least Concern"
"1500","Didelphis virginiana","Least Concern"
"1501","Dinaromys bogdanovi","Vulnerable"
"1502","Dinomys branickii","Least Concern"
"1503","Diomys crumpi","Data Deficient"
"1504","Diphylla ecaudata","Least Concern"
"1505","Diplogale hosei","Vulnerable"
"1506","Diplomesodon pulchellum","Not Applicable"
"1507","Diplomesodon pulchellum","Least Concern"
"1508","Diplomys caniceps","Data Deficient"
"1509","Diplomys labilis","Least Concern"
"1510","Diplothrix legata","Endangered"
"1511","Dipodomys agilis","Least Concern"
"1512","Dipodomys californicus","Least Concern"
"1513","Dipodomys compactus","Least Concern"
"1514","Dipodomys deserti","Least Concern"
"1515","Dipodomys elator","Vulnerable"
"1516","Dipodomys gravipes","Critically Endangered"
"1517","Dipodomys heermanni","Least Concern"
"1518","Dipodomys ingens","Endangered"
"1519","Dipodomys merriami","Least Concern"
"1520","Dipodomys microps","Least Concern"
"1521","Dipodomys nelsoni","Least Concern"
"1522","Dipodomys nitratoides","Vulnerable"
"1523","Dipodomys ordii","Least Concern"
"1524","Dipodomys ornatus","Least Concern"
"1525","Dipodomys panamintinus","Least Concern"
"1526","Dipodomys phillipsii","Least Concern"
"1527","Dipodomys simulans","Least Concern"
"1528","Dipodomys spectabilis","Near Threatened"
"1529","Dipodomys stephensi","Vulnerable"
"1530","Dipodomys venustus","Least Concern"
"1531","Dipus sagitta","Not Applicable"
"1532","Dipus sagitta","Least Concern"
"1533","Distoechurus pennatus","Least Concern"
"1534","Dobsonia anderseni","Least Concern"
"1535","Dobsonia beauforti","Least Concern"
"1536","Dobsonia chapmani","Critically Endangered"
"1537","Dobsonia crenulata","Least Concern"
"1538","Dobsonia emersa","Vulnerable"
"1539","Dobsonia exoleta","Least Concern"
"1540","Dobsonia inermis","Least Concern"
"1541","Dobsonia magna","Least Concern"
"1542","Dobsonia minor","Least Concern"
"1543","Dobsonia moluccensis","Least Concern"
"1544","Dobsonia pannietensis","Near Threatened"
"1545","Dobsonia peronii","Least Concern"
"1546","Dobsonia praedatrix","Least Concern"
"1547","Dobsonia viridis","Least Concern"
"1548","Dolichotis patagonum","Near Threatened"
"1549","Dolichotis salinicola","Least Concern"
"1550","Dologale dybowskii","Data Deficient"
"1551","Dorcatragus megalotis","Vulnerable"
"1552","Dorcopsis atrata","Critically Endangered"
"1553","Dorcopsis hageni","Least Concern"
"1554","Dorcopsis luctuosa","Vulnerable"
"1555","Dorcopsis muelleri","Least Concern"
"1556","Dorcopsulus macleayi","Least Concern"
"1557","Dorcopsulus vanheurni","Near Threatened"
"1558","Dremomys everetti","Least Concern"
"1559","Dremomys gularis","Data Deficient"
"1560","Dremomys lokriah","Least Concern"
"1561","Dremomys pernyi","Least Concern"
"1562","Dremomys pyrrhomerus","Least Concern"
"1563","Dremomys rufigenis","Least Concern"
"1564","Dromiciops gliroides","Near Threatened"
"1565","Dryadonycteris capixaba","Data Deficient"
"1566","Drymoreomys albimaculatus","Near Threatened"
"1567","Dryomys laniger","Data Deficient"
"1568","Dryomys niethammeri","Vulnerable"
"1569","Dryomys nitedula","Least Concern"
"1570","Dryomys nitedula","Least Concern"
"1571","Dryomys nitedula","Least Concern"
"1572","Dugong dugon","Vulnerable"
"1573","Dusicyon australis","Extinct"
"1574","Dusicyon avus","Extinct"
"1575","Dyacopterus brooksi","Vulnerable"
"1576","Dyacopterus rickarti","Endangered"
"1577","Dyacopterus spadiceus","Near Threatened"
"1578","Dymecodon pilirostris","Least Concern"
"1579","Echimys chrysurus","Least Concern"
"1580","Echimys saturnus","Data Deficient"
"1581","Echimys vieirai","Data Deficient"
"1582","Echinops telfairi","Least Concern"
"1583","Echinosorex gymnura","Least Concern"
"1584","Echiothrix centrosa","Vulnerable"
"1585","Echiothrix leucura","Endangered"
"1586","Echymipera clara","Least Concern"
"1587","Echymipera davidi","Endangered"
"1588","Echymipera echinista","Data Deficient"
"1589","Echymipera kalubu","Least Concern"
"1590","Echymipera rufescens","Least Concern"
"1591","Ectophylla alba","Near Threatened"
"1592","Eidolon dupreanum","Vulnerable"
"1593","Eidolon helvum","Near Threatened"
"1594","Eira barbara","Least Concern"
"1595","Elaphodus cephalophus","Near Threatened"
"1596","Elaphurus davidianus","Extinct in the Wild"
"1597","Elephantulus brachyrhynchus","Least Concern"
"1598","Elephantulus edwardii","Least Concern"
"1599","Elephantulus fuscipes","Data Deficient"
"1600","Elephantulus fuscus","Data Deficient"
"1601","Elephantulus intufi","Least Concern"
"1602","Elephantulus myurus","Least Concern"
"1603","Elephantulus pilicaudus","Data Deficient"
"1604","Elephantulus revoilii","Data Deficient"
"1605","Elephantulus rozeti","Least Concern"
"1606","Elephantulus rufescens","Least Concern"
"1607","Elephantulus rupestris","Least Concern"
"1608","Elephas maximus","Endangered"
"1609","Eligmodontia moreni","Least Concern"
"1610","Eligmodontia morgani","Least Concern"
"1611","Eligmodontia puerulus","Least Concern"
"1612","Eligmodontia typus","Least Concern"
"1613","Eliomys melanurus","Least Concern"
"1614","Eliomys melanurus","Least Concern"
"1615","Eliomys munbyanus","Least Concern"
"1616","Eliomys quercinus","Least Concern"
"1617","Eliomys quercinus","Near Threatened"
"1618","Eliurus antsingy","Data Deficient"
"1619","Eliurus carletoni","Least Concern"
"1620","Eliurus danieli","Least Concern"
"1621","Eliurus ellermani","Data Deficient"
"1622","Eliurus grandidieri","Least Concern"
"1623","Eliurus majori","Least Concern"
"1624","Eliurus minor","Least Concern"
"1625","Eliurus myoxinus","Least Concern"
"1626","Eliurus penicillatus","Endangered"
"1627","Eliurus petteri","Endangered"
"1628","Eliurus tanala","Least Concern"
"1629","Eliurus webbi","Least Concern"
"1630","Ellobius alaicus","Data Deficient"
"1631","Ellobius fuscocapillus","Least Concern"
"1632","Ellobius lutescens","Least Concern"
"1633","Ellobius lutescens","Least Concern"
"1634","Ellobius talpinus","Least Concern"
"1635","Ellobius talpinus","Least Concern"
"1636","Ellobius tancrei","Least Concern"
"1637","Emballonura alecto","Least Concern"
"1638","Emballonura beccarii","Least Concern"
"1639","Emballonura dianae","Least Concern"
"1640","Emballonura furax","Least Concern"
"1641","Emballonura monticola","Least Concern"
"1642","Emballonura raffrayana","Least Concern"
"1643","Emballonura semicaudata","Endangered"
"1644","Emballonura serii","Vulnerable"
"1645","Enchisthenes hartii","Least Concern"
"1646","Enhydra lutris","Endangered"
"1647","Eoglaucomys fimbriatus","Least Concern"
"1648","Eolagurus luteus","Least Concern"
"1649","Eolagurus przewalskii","Least Concern"
"1650","Eonycteris major","Data Deficient"
"1651","Eonycteris robusta","Vulnerable"
"1652","Eonycteris spelaea","Least Concern"
"1653","Eospalax fontanierii","Least Concern"
"1654","Eospalax rothschildi","Least Concern"
"1655","Eospalax smithii","Least Concern"
"1656","Eothenomys cachinus","Least Concern"
"1657","Eothenomys chinensis","Least Concern"
"1658","Eothenomys custos","Least Concern"
"1659","Eothenomys melanogaster","Least Concern"
"1660","Eothenomys miletus","Least Concern"
"1661","Eothenomys olitor","Least Concern"
"1662","Eothenomys proditor","Data Deficient"
"1663","Eothenomys wardi","Near Threatened"
"1664","Eozapus setchuanus","Least Concern"
"1665","Episoriculus caudatus","Least Concern"
"1666","Episoriculus fumidus","Least Concern"
"1667","Episoriculus leucops","Least Concern"
"1668","Episoriculus macrurus","Least Concern"
"1669","Epixerus ebii","Least Concern"
"1670","Epomophorus angolensis","Near Threatened"
"1671","Epomophorus anselli","Data Deficient"
"1672","Epomophorus crypturus","Least Concern"
"1673","Epomophorus gambianus","Least Concern"
"1674","Epomophorus grandis","Data Deficient"
"1675","Epomophorus labiatus","Least Concern"
"1676","Epomophorus minimus","Least Concern"
"1677","Epomophorus minor","Least Concern"
"1678","Epomophorus wahlbergi","Least Concern"
"1679","Epomops buettikoferi","Least Concern"
"1680","Epomops dobsonii","Least Concern"
"1681","Epomops franqueti","Least Concern"
"1682","Eptesicus andinus","Least Concern"
"1683","Eptesicus bobrinskoi","Data Deficient"
"1684","Eptesicus bottae","Least Concern"
"1685","Eptesicus bottae","Least Concern"
"1686","Eptesicus bottae","Not Applicable"
"1687","Eptesicus brasiliensis","Least Concern"
"1688","Eptesicus chiriquinus","Least Concern"
"1689","Eptesicus diminutus","Least Concern"
"1690","Eptesicus dimissus","Data Deficient"
"1691","Eptesicus floweri","Least Concern"
"1692","Eptesicus furinalis","Least Concern"
"1693","Eptesicus fuscus","Least Concern"
"1694","Eptesicus gobiensis","Least Concern"
"1695","Eptesicus guadeloupensis","Endangered"
"1696","Eptesicus hottentotus","Least Concern"
"1697","Eptesicus innoxius","Near Threatened"
"1698","Eptesicus isabellinus","Least Concern"
"1699","Eptesicus japonensis","Vulnerable"
"1700","Eptesicus kobayashii","Data Deficient"
"1701","Eptesicus lobatus","Data Deficient"
"1702","Eptesicus nilssonii","Not Applicable"
"1703","Eptesicus nilssonii","Least Concern"
"1704","Eptesicus nilssonii","Least Concern"
"1705","Eptesicus ognevi","Least Concern"
"1706","Eptesicus pachyomus","Least Concern"
"1707","Eptesicus pachyotis","Least Concern"
"1708","Eptesicus platyops","Data Deficient"
"1709","Eptesicus serotinus","Least Concern"
"1710","Eptesicus taddeii","Data Deficient"
"1711","Eptesicus tatei","Data Deficient"
"1712","Equus africanus","Critically Endangered"
"1713","Equus africanus","Critically Endangered"
"1714","Equus ferus","Endangered"
"1715","Equus grevyi","Endangered"
"1716","Equus hemionus","Endangered"
"1717","Equus hemionus","Near Threatened"
"1718","Equus kiang","Least Concern"
"1719","Equus quagga","Near Threatened"
"1720","Equus zebra","Vulnerable"
"1721","Eremitalpa granti","Least Concern"
"1722","Eremodipus lichtensteini","Least Concern"
"1723","Eremoryzomys polius","Data Deficient"
"1724","Erethizon dorsatum","Least Concern"
"1725","Erignathus barbatus","Not Applicable"
"1726","Erignathus barbatus","Least Concern"
"1727","Erinaceus amurensis","Least Concern"
"1728","Erinaceus concolor","Least Concern"
"1729","Erinaceus concolor","Not Applicable"
"1730","Erinaceus concolor","Least Concern"
"1731","Erinaceus europaeus","Least Concern"
"1732","Erinaceus europaeus","Least Concern"
"1733","Erinaceus roumanicus","Least Concern"
"1734","Erinaceus roumanicus","Least Concern"
"1735","Erinaceus roumanicus","Least Concern"
"1736","Eropeplus canus","Vulnerable"
"1737","Erophylla bombifrons","Least Concern"
"1738","Erophylla sezekorni","Least Concern"
"1739","Erythrocebus baumstarki","Critically Endangered"
"1740","Erythrocebus patas","Near Threatened"
"1741","Erythrocebus poliophaeus","Data Deficient"
"1742","Eschrichtius robustus","Regionally Extinct"
"1743","Eschrichtius robustus","Least Concern"
"1744","Eubalaena australis","Least Concern"
"1745","Eubalaena glacialis","Critically Endangered"
"1746","Eubalaena glacialis","Critically Endangered"
"1747","Eubalaena japonica","Endangered"
"1748","Euchoreutes naso","Least Concern"
"1749","Euderma maculatum","Least Concern"
"1750","Eudiscoderma thongareeae","Critically Endangered"
"1751","Eudiscopus denticulus","Least Concern"
"1752","Eudorcas albonotata","Least Concern"
"1753","Eudorcas rufifrons","Vulnerable"
"1754","Eudorcas thomsonii","Least Concern"
"1755","Eudorcas tilonura","Endangered"
"1756","Eulemur albifrons","Vulnerable"
"1757","Eulemur cinereiceps","Critically Endangered"
